DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723128787,277,84.5,0.024,86.4,678.131,64,1.76
1723128789,1678,94.9,0.050,180,1523.19,64,2.25
1723128790,3081,103.6,0.079,284.4,3175.6,64,2.38
1723128791,4421,89.9,0.132,475.2,774.97,64,2.46
1723128793,5857,89.9,0.157,565.2,622.222,64,2.56
1723128794,7350,89.4,0.207,745.2,681.901,64,2.66
1723128796,8718,91.1,0.232,835.2,778.95,64,2.75
1723128797,10110,90.5,0.257,925.2,712.781,64,2.84
1723128798,11487,90.0,0.307,1105.2,851.597,64,2.95
1723128800,12914,90.9,0.332,1195.2,958.637,64,3.08
1723128801,14259,90.9,0.383,1378.8,913.568,64,3.21
1723128803,15681,92.8,0.409,1472.4,1083.34,64,3.36
1723128804,17046,91.9,0.435,1566,1108.04,64,3.51
1723128805,18416,91.1,0.485,1746,940.525,64,3.63
1723128807,19890,90.1,0.510,1836,835.437,64,3.74
1723128808,21213,92.6,0.536,1929.6,3201.98,64,3.74
1723128810,23200,111.6,0.594,2138.4,5987.39,64,4.01
1723128812,25168,117.3,0.660,2376,6346.34,64,4.03
1723128814,26988,119.2,0.725,2610,6395.12,64,4.04
1723128816,28880,117.8,0.791,2847.6,6370.04,64,4.04
1723128818,30650,118.1,0.857,3085.2,6388.19,64,4.04
1723128819,32539,118.1,0.923,3322.8,6334.64,64,4.03
1723128822,34489,119.2,0.956,3441.6,6386.48,64,4.02
1723128824,36749,118.6,1.055,3798,6400,64,4.02
1723128826,39039,120.1,1.121,4035.6,6400,64,4.00
1723128828,41229,118.6,1.187,4273.2,6400,64,4.00
1723128830,43402,118.8,1.253,4510.8,6400,64,4.00
1723128833,45572,120.2,1.353,4870.8,6400,64,3.99
1723128835,47670,118.8,1.419,5108.4,6400,64,3.99
1723128837,49918,118.8,1.485,5346,6400,64,3.99
1723128839,52268,119.7,1.552,5587.2,6400,64,3.98
1723128842,54499,119.0,1.618,5824.8,6395.17,64,3.97
1723128844,56798,119.1,1.717,6181.2,6400,64,3.97
1723128846,59158,118.9,1.784,6422.4,6400,64,3.96
1723128849,61518,119.1,1.883,6778.8,6400,64,3.97
1723128851,63750,120.6,1.950,7020,6400,64,3.96
1723128853,66009,119.0,2.016,7257.6,6400,64,3.96
1723128855,68197,119.2,2.082,7495.2,6400,64,3.96
1723128857,70321,120.0,2.149,7736.4,6400,64,3.96
1723128860,72568,118.5,2.248,8092.8,6300.48,64,3.96
1723128862,74838,119.0,2.314,8330.4,6400,64,3.96
1723128864,77100,119.1,2.381,8571.6,6400,64,3.96
1723128867,79430,119.0,2.447,8809.2,6400,64,3.96
1723128869,81727,120.8,2.547,9169.2,6400,64,3.96
1723128871,83786,119.3,2.614,9410.4,6400,64,3.96
1723128873,86116,119.1,2.680,9648,6400,64,3.96
1723128875,88312,120.2,2.746,9885.6,6400,64,3.96
1723128878,90499,119.2,2.813,10126.8,6400,64,3.96
1723128880,92697,119.2,2.913,10486.8,6400,64,3.96
1723128882,94867,120.3,2.979,10724.4,6400,64,3.96
1723128884,97102,119.1,3.045,10962,6400,64,3.95
1723128886,99331,120.8,3.112,11203.2,6400,64,3.96
1723128889,101678,119.1,3.212,11563.2,6400,64,3.95
1723128891,103839,119.2,3.278,11800.8,6400,64,3.96
