DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723128225,457,85.8,0.000,0,645.261,64,1.82
1723128230,5814,91.6,0.170,612,2921.93,64,3.18
1723128236,11341,90.2,0.297,1069.2,756.71,64,3.54
1723128241,16690,89.5,0.447,1609.2,775.328,64,3.90
1723128247,22055,89.8,0.573,2062.8,855.802,64,4.34
1723128252,27438,90.4,0.700,2520,895.891,64,4.81
1723128257,32780,91.2,0.854,3074.4,1113.76,64,5.39
1723128263,38172,89.1,0.979,3524.4,838.438,64,5.80
1723128269,44083,118.2,1.164,4190.4,6177.93,64,6.15
1723128275,50414,118.7,1.360,4896,6384.68,64,6.15
1723128281,56643,119.1,1.558,5608.8,6400,64,6.13
1723128288,62992,119.1,1.789,6440.4,6400,64,6.14
1723128294,69352,118.3,1.987,7153.2,6399.21,64,6.13
1723128300,75681,118.4,2.185,7866,6400,64,6.13
1723128307,81924,118.6,2.416,8697.6,6394.03,64,6.12
1723128313,88142,118.5,2.614,9410.4,6398.62,64,6.11
1723128319,94570,118.5,2.812,10123.2,6398.61,64,6.12
1723128325,100571,118.8,3.011,10839.6,6387.21,64,6.25
1723128331,106679,118.8,3.210,11556,6398.21,64,6.30
1723128338,112931,118.8,3.442,12391.2,6400,64,6.29
1723128344,119220,118.8,3.640,13104,6398.61,64,6.29
1723128350,125463,118.8,3.839,13820.4,6400,64,6.28
1723128357,131830,118.8,4.071,14655.6,6400,64,6.29
1723128363,137931,118.8,4.270,15372,6400,64,6.29
1723128369,144221,118.9,4.468,16084.8,6398.8,64,6.30
1723128375,150420,118.9,4.667,16801.2,6398.21,64,6.30
1723128382,156840,118.9,4.899,17636.4,6400,64,6.30
1723128388,163031,118.9,5.098,18352.8,6400,64,6.30
1723128394,169271,120.6,5.297,19069.2,6397.41,64,6.30
1723128400,175512,120.5,5.496,19785.6,6400,64,6.30
1723128407,181750,120.7,5.695,20502,6400,64,6.30
1723128413,188042,120.6,5.927,21337.2,6400,64,6.30
1723128419,194353,119.9,6.127,22057.2,6400,64,6.30
1723128426,200723,119.7,6.326,22773.6,6400,64,6.30
1723128432,207041,120.0,6.558,23608.8,6400,64,6.30
1723128438,213320,119.1,6.757,24325.2,6400,64,6.30
1723128444,219632,119.1,6.956,25041.6,6400,64,6.30
