DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723133471,252,84.9,0.024,86.4,950.656,64,1.71
1723133473,1584,88.5,0.048,172.8,809.05,64,1.80
1723133474,3345,93.8,0.107,385.2,6044.17,64,1.89
1723133476,5102,117.5,0.139,500.4,6337.54,64,1.90
1723133478,6856,117.2,0.205,738,6314.39,64,1.90
1723133480,8662,117.2,0.270,972,6338.89,64,1.89
1723133481,10384,117.8,0.336,1209.6,6325.36,64,1.89
1723133483,12055,119.7,0.369,1328.4,6285.48,64,1.89
1723133485,13840,117.7,0.434,1562.4,6316.22,64,1.88
1723133487,15717,118.1,0.500,1800,6396.1,64,1.88
1723133489,17468,119.6,0.566,2037.6,6308.24,64,1.88
1723133490,19147,117.9,0.599,2156.4,6286.55,64,1.88
1723133492,20978,117.8,0.664,2390.4,6300.43,64,1.88
1723133494,22688,118.4,0.730,2628,6348.24,64,1.87
1723133496,24473,117.8,0.796,2865.6,6282.23,64,1.87
1723133497,26079,117.8,0.829,2984.4,6225.56,64,1.87
1723133499,27816,118.0,0.894,3218.4,6336.56,64,1.87
1723133501,29592,120.0,0.960,3456,6298.46,64,1.87
1723133502,31347,118.6,1.026,3693.6,6299.46,64,1.86
1723133504,33041,118.0,1.059,3812.4,6264.33,64,1.86
1723133506,34878,118.7,1.125,4050,6343.83,64,1.87
1723133508,36624,118.7,1.191,4287.6,6398.05,64,1.87
1723133510,38547,118.4,1.257,4525.2,6277.9,64,1.87
1723133511,40232,118.2,1.323,4762.8,6354.63,64,1.87
1723133513,41925,120.4,1.356,4881.6,6300.48,64,1.86
1723133515,43665,118.1,1.422,5119.2,6303.45,64,1.86
1723133517,45544,118.5,1.489,5360.4,6372.67,64,1.86
1723133518,47264,119.0,1.554,5594.4,6280.79,64,1.86
1723133520,49075,118.5,1.587,5713.2,6300.44,64,1.86
1723133522,50836,118.3,1.653,5950.8,6301.43,64,1.85
1723133524,52615,118.9,1.719,6188.4,6374.87,64,1.86
1723133526,54622,118.8,1.785,6426,6395.17,64,1.86
1723133527,56430,118.7,1.851,6663.6,6397.1,64,1.86
1723133529,58088,118.8,1.884,6782.4,6345.32,64,1.86
1723133531,59848,120.3,1.951,7023.6,6233.42,64,1.86
1723133533,61760,118.3,2.016,7257.6,6315.6,64,1.86
1723133535,63463,118.7,2.083,7498.8,6282.55,64,1.86
1723133536,65226,119.0,2.116,7617.6,6305.34,64,1.86
1723133538,66884,118.9,2.182,7855.2,6298.44,64,1.86
1723133540,68515,118.4,2.248,8092.8,6287.51,64,1.86
1723133541,70216,118.5,2.314,8330.4,6222.05,64,1.88
1723133543,71928,120.3,2.347,8449.2,6323.09,64,1.89
1723133545,73857,118.8,2.413,8686.8,6399.05,64,1.90
1723133547,75937,119.2,2.479,8924.4,6389.41,64,1.89
1723133549,77880,120.6,2.546,9165.6,6301.22,64,1.86
1723133551,79710,118.4,2.612,9403.2,6299.47,64,1.86
1723133553,81466,118.5,2.678,9640.8,6313.27,64,1.86
1723133554,83130,118.8,2.711,9759.6,6298.49,64,1.86
1723133556,84879,118.4,2.777,9997.2,6264.72,64,1.85
1723133558,86642,118.5,2.843,10234.8,6323.12,64,1.86
1723133559,88250,118.6,2.909,10472.4,6300.48,64,1.86
1723133561,90111,120.6,2.942,10591.2,6299.49,64,1.85
1723133563,92007,118.5,3.008,10828.8,6290.84,64,1.86
1723133565,93792,118.5,3.074,11066.4,6299.53,64,1.86
1723133567,95537,120.4,3.140,11304,6299.48,64,1.86
1723133568,97322,118.9,3.207,11545.2,6379.9,64,1.86
1723133570,98983,118.9,3.239,11660.4,6316.19,64,1.86
1723133572,100583,118.5,3.305,11898,6284.51,64,1.86
1723133573,102183,120.5,3.339,12020.4,6299.49,64,1.85
1723133575,103851,118.1,3.405,12258,6310.26,64,1.86
1723133577,105762,118.3,3.471,12495.6,6290.86,64,1.85
1723133579,107507,120.4,3.537,12733.2,6302.36,64,1.85
1723133581,109426,119.0,3.603,12970.8,6324.07,64,1.86
1723133582,111317,118.7,3.669,13208.4,6346.37,64,1.86
1723133584,113225,119.1,3.702,13327.2,6399.03,64,1.86
1723133586,115071,118.6,3.769,13568.4,6252.67,64,1.86
1723133588,116846,118.6,3.834,13802.4,6301.4,64,1.86
1723133590,118828,118.9,3.900,14040,6344.79,64,1.85
1723133592,120705,118.2,3.967,14281.2,6250.75,64,1.86
1723133594,122663,118.7,4.033,14518.8,6377.77,64,1.86
1723133596,124465,118.6,4.099,14756.4,6364.26,64,1.85
1723133597,126396,120.6,4.165,14994,6389.48,64,1.86
1723133599,128278,118.9,4.231,15231.6,6327.03,64,1.86
1723133601,129978,118.5,4.264,15350.4,6276.04,64,1.85
1723133603,131789,120.4,4.331,15591.6,6300.46,64,1.85
1723133605,133577,118.7,4.396,15825.6,6337.5,64,1.85
1723133606,135257,118.8,4.462,16063.2,6236.84,64,1.85
1723133608,136966,118.7,4.495,16182,6215.76,64,1.85
1723133610,138599,118.4,4.562,16423.2,6288.71,64,1.85
1723133611,140348,118.8,4.628,16660.8,6277.06,64,1.85
1723133613,142074,118.3,4.660,16776,6266.2,64,1.85
1723133615,143997,120.4,4.727,17017.2,6298.51,64,1.85
1723133617,146052,118.4,4.793,17254.8,6292.63,64,1.86
1723133619,147843,118.5,4.858,17488.8,6301.47,64,1.86
1723133621,149483,120.0,4.925,17730,6260.06,64,1.85
1723133622,151238,119.1,4.991,17967.6,6323.86,64,1.86
1723133624,152952,118.2,5.024,18086.4,6249.73,64,1.85
1723133626,154737,118.7,5.090,18324,6301.45,64,1.85
1723133628,156535,118.6,5.156,18561.6,6309.34,64,1.86
1723133630,158410,118.2,5.222,18799.2,6297.45,64,1.86
1723133632,160358,118.7,5.288,19036.8,6395.12,64,1.86
1723133633,162267,120.5,5.354,19274.4,6343.48,64,1.86
