DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723131434,329,86.7,0.000,0,834.758,64,1.77
1723131440,6253,118.6,0.192,691.2,6123.16,64,2.81
1723131446,12502,119.0,0.391,1407.6,6400,64,2.79
1723131452,18882,119.1,0.590,2124,6400,64,2.76
1723131459,25062,119.1,0.822,2959.2,6399.8,64,2.75
1723131465,31271,119.1,1.022,3679.2,6400,64,2.74
1723131471,37602,119.2,1.221,4395.6,6400,64,2.73
1723131477,43786,119.3,1.421,5115.6,6399.01,64,2.73
1723131484,49981,119.4,1.654,5954.4,6398.61,64,2.72
1723131490,56332,119.3,1.853,6670.8,6400,64,2.72
1723131496,62663,120.2,2.053,7390.8,6399.2,64,2.72
1723131502,68804,120.1,2.253,8110.8,6398.8,64,2.72
1723131509,75102,120.2,2.486,8949.6,6400,64,2.72
1723131515,81424,120.4,2.686,9669.6,6398.21,64,2.72
1723131521,87761,121.2,2.886,10389.6,6400,64,2.72
1723131528,93951,121.9,3.087,11113.2,6400,64,2.72
1723131534,100143,121.7,3.321,11955.6,6400,64,2.72
1723131540,106491,120.2,3.522,12679.2,6400,64,2.72
1723131546,112632,120.1,3.722,13399.2,6400,64,2.72
1723131552,118762,120.1,3.923,14122.8,6400,64,2.72
1723131559,125011,120.1,4.158,14968.8,6398.21,64,2.72
1723131565,131303,120.1,4.358,15688.8,6399.2,64,2.72
1723131571,137237,120.0,4.559,16412.4,6374.83,64,2.71
1723131577,143402,120.0,4.760,17136,6396.22,64,2.71
1723131583,149650,120.1,4.961,17859.6,6399.4,64,2.72
1723131589,155843,120.0,5.162,18583.2,6399.21,64,2.72
1723131596,162171,120.1,5.396,19425.6,6399.6,64,2.72
1723131602,168404,120.1,5.597,20149.2,6398.8,64,2.72
1723131608,174532,120.2,5.798,20872.8,6400,64,2.72
1723131614,180622,120.2,5.999,21596.4,6399.21,64,2.72
1723131620,186762,120.1,6.200,22320,6398.81,64,2.72
1723131627,193024,120.1,6.434,23162.4,6400,64,2.72
1723131633,199192,120.2,6.635,23886,6399.01,64,2.72
1723131639,205372,120.3,6.836,24609.6,6400,64,2.72
1723131645,211613,120.2,7.037,25333.2,6400,64,2.72
1723131651,217732,120.2,7.238,26056.8,6399.21,64,2.72
1723131658,224233,120.2,7.473,26902.8,6400,64,2.72
1723131664,230525,121.0,7.674,27626.4,6398.01,64,2.72
1723131670,236821,121.0,7.875,28350,6400,64,2.72
1723131677,243082,121.0,8.110,29196,6400,64,2.72
1723131683,249243,121.0,8.311,29919.6,6398.81,64,2.72
1723131689,255462,122.0,8.512,30643.2,6398.21,64,2.72
1723131695,261780,122.0,8.714,31370.4,6400,64,2.72
1723131702,267980,122.0,8.915,32094,6400,64,2.72
1723131708,274104,122.1,9.149,32936.4,6400,64,2.72
1723131714,280304,120.4,9.350,33660,6399.01,64,2.72
1723131720,286554,120.3,9.551,34383.6,6400,64,2.72
1723131726,292792,120.3,9.753,35110.8,6400,64,2.72
1723131733,299090,120.4,9.987,35953.2,6398.8,64,2.72
1723131739,305274,120.4,10.189,36680.4,6398.61,64,2.71
1723131745,311365,120.3,10.390,37404,6399.21,64,2.71
1723131751,317682,120.3,10.591,38127.6,6400,64,2.72
1723131757,323863,120.2,10.792,38851.2,6399.6,64,2.72
1723131764,329992,120.2,11.027,39697.2,6400,64,2.72
1723131770,336163,120.3,11.228,40420.8,6400,64,2.72
1723131776,342572,120.1,11.429,41144.4,6400,64,2.72
1723131782,348853,120.2,11.630,41868,6400,64,2.72
1723131789,355131,120.2,11.864,42710.4,6370.02,64,2.72
1723131795,361242,120.3,12.065,43434,6398.8,64,2.72
1723131801,367444,120.2,12.266,44157.6,6396.83,64,2.72
1723131807,373610,120.1,12.467,44881.2,6398.21,64,2.72
1723131814,379932,120.2,12.668,45604.8,6397.61,64,2.72
1723131820,386292,120.2,12.902,46447.2,6400,64,2.72
1723131826,392461,121.0,13.104,47174.4,6395.63,64,2.72
1723131832,398674,120.9,13.304,47894.4,6400,64,2.72
1723131839,404930,120.8,13.505,48618,6399.6,64,2.72
1723131845,411301,120.8,13.740,49464,6397.22,64,2.71
1723131851,417441,121.8,13.941,50187.6,6400,64,2.72
1723131857,423631,121.9,14.142,50911.2,6400,64,2.72
1723131864,429911,121.9,14.343,51634.8,6399.6,64,2.72
1723131870,436251,121.8,14.577,52477.2,6398.21,64,2.72
1723131876,442423,120.0,14.778,53200.8,6400,64,2.72
1723131882,448741,120.0,14.979,53924.4,6397.61,64,2.72
1723131889,454962,120.1,15.213,54766.8,6397.8,64,2.72
1723131895,461171,120.1,15.414,55490.4,6399.8,64,2.71
1723131901,467412,120.1,15.614,56210.4,6399.4,64,2.72
1723131907,473675,120.1,15.815,56934,6399.21,64,2.72
1723131913,479772,120.0,16.016,57657.6,6398.8,64,2.72
1723131920,485981,120.0,16.250,58500,6400,64,2.72
1723131926,492290,120.0,16.451,59223.6,6398.01,64,2.72
1723131932,498501,120.0,16.651,59943.6,6400,64,2.72
1723131938,504701,120.0,16.852,60667.2,6399.8,64,2.72
1723131944,510901,120.0,17.086,61509.6,6399.01,64,2.72
1723131951,517222,119.9,17.287,62233.2,6399.6,64,2.72
1723131957,523482,120.2,17.488,62956.8,6400,64,2.72
1723131963,529681,119.9,17.688,63676.8,6398.61,64,2.73
1723131969,535800,119.9,17.889,64400.4,6396.22,64,2.72
1723131976,541921,120.0,18.090,65124,6396.63,64,2.72
1723131982,548112,120.0,18.324,65966.4,6400,64,2.72
1723131988,554351,119.9,18.525,66690,6400,64,2.72
1723131994,560781,120.6,18.725,67410,6397.42,64,2.72
1723132001,566942,120.7,18.960,68256,6400,64,2.72
1723132007,573111,120.7,19.160,68976,6400,64,2.72
1723132013,579243,120.5,19.361,69699.6,6399.8,64,2.73
1723132019,585544,121.6,19.561,70419.6,6400,64,2.73
1723132025,591782,121.7,19.762,71143.2,6400,64,2.72
1723132032,597895,121.7,19.996,71985.6,6399.8,64,2.72
1723132038,604022,121.8,20.197,72709.2,6399.21,64,2.72
1723132044,610232,121.6,20.398,73432.8,6398.61,64,2.72
1723132050,616501,119.9,20.598,74152.8,6399.21,64,2.72
1723132056,622661,119.9,20.799,74876.4,6399.4,64,2.72
1723132062,628824,119.9,20.999,75596.4,6397.2,64,2.72
1723132069,635161,120.0,21.233,76438.8,6399.6,64,2.72
1723132075,641342,119.8,21.433,77158.8,6399.8,64,2.72
1723132081,647710,119.9,21.633,77878.8,6398.6,64,2.72
1723132088,653943,119.9,21.834,78602.4,6398.41,64,2.72
1723132094,660101,119.8,22.068,79444.8,6400,64,2.72
1723132100,666222,120.1,22.269,80168.4,6398.41,64,2.72
1723132106,672434,119.9,22.469,80888.4,6399.6,64,2.72
1723132112,678631,120.0,22.670,81612,6399.8,64,2.72
1723132118,684700,119.8,22.871,82335.6,6399.6,64,2.72
1723132125,690944,119.9,23.105,83178,6399,64,2.72
1723132131,697072,120.1,23.305,83898,6399.8,64,2.72
1723132137,703302,120.1,23.506,84621.6,6400,64,2.72
1723132143,709412,120.0,23.706,85341.6,6399.8,64,2.72
1723132149,715643,119.9,23.907,86065.2,6400,64,2.73
1723132156,721893,120.0,24.108,86788.8,6399.01,64,2.72
1723132162,728001,120.2,24.342,87631.2,6400,64,2.72
1723132168,734241,120.0,24.543,88354.8,6400,64,2.72
1723132174,740572,120.8,24.744,89078.4,6399.8,64,2.72
1723132180,746780,120.6,24.945,89802,6396.82,64,2.73
1723132187,752901,120.9,25.179,90644.4,6399.6,64,2.72
