DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723127033,252,82.8,0.023,82.8,640.582,64,1.65
1723127035,1562,82.6,0.046,165.6,0.991635,64,1.65
1723127036,2892,82.8,0.069,248.4,0.991635,64,1.66
1723127037,4212,82.8,0.115,414,1.98265,64,1.65
1723127038,5536,83.1,0.138,496.8,16.8499,64,1.65
1723127040,6855,82.7,0.161,579.6,0.991789,64,1.65
1723127041,8167,82.6,0.184,662.4,1.98173,64,1.65
1723127042,9477,82.5,0.230,828,0.991174,64,1.65
1723127044,10899,84.6,0.253,910.8,0.991021,64,1.65
1723127045,12211,83.1,0.299,1076.4,0.991635,64,1.65
1723127046,13518,82.6,0.322,1159.2,2.97352,64,1.65
1723127048,14826,82.5,0.345,1242,0.991942,64,1.65
1723127049,16139,82.6,0.368,1324.8,2.9749,64,1.65
1723127050,17454,82.9,0.415,1494,2.97536,64,1.65
1723127052,18768,82.4,0.437,1573.2,0.991482,64,1.65
1723127053,20076,82.5,0.460,1656,0.991789,64,1.65
1723127054,21382,82.5,0.506,1821.6,0,64,1.65
1723127056,22692,84.4,0.530,1908,0.991174,64,1.65
1723127057,23999,83.0,0.553,1990.8,0.991328,64,1.65
1723127058,25315,82.4,0.599,2156.4,3.96592,64,1.65
1723127060,26639,82.7,0.622,2239.2,14.8745,64,1.65
1723127061,27951,82.5,0.644,2318.4,0.991942,64,1.65
1723127062,29271,84.3,0.691,2487.6,2.97536,64,1.65
1723127064,30596,82.5,0.713,2566.8,5.94888,64,1.65
1723127065,31910,82.6,0.737,2653.2,2.97628,64,1.65
1723127066,33220,82.5,0.782,2815.2,2.97536,64,1.65
1723127067,34532,84.3,0.806,2901.6,4.95816,64,1.65
1723127069,35843,83.0,0.829,2984.4,3.96653,64,1.65
1723127070,37158,82.5,0.851,3063.6,1.98326,64,1.65
1723127071,38478,82.3,0.897,3229.2,0.991328,64,1.64
1723127073,39794,82.4,0.920,3312,1.98296,64,1.64
1723127074,41106,84.3,0.944,3398.4,3.96531,64,1.64
1723127075,42420,82.3,0.989,3560.4,0,64,1.64
1723127077,43743,82.5,1.012,3643.2,0.991482,64,1.64
1723127078,45058,82.4,1.035,3726,2.9749,64,1.64
1723127079,46376,84.0,1.081,3891.6,6.94144,64,1.64
1723127081,47696,82.8,1.105,3978,0.991635,64,1.64
1723127082,49010,82.4,1.127,4057.2,0,64,1.64
1723127083,50321,82.1,1.173,4222.8,0.991942,64,1.64
1723127085,51631,82.4,1.196,4305.6,1.98326,64,1.64
1723127086,52940,84.3,1.219,4388.4,2.97582,64,1.64
1723127087,54246,82.9,1.265,4554,0.991482,64,1.64
1723127089,55559,82.3,1.288,4636.8,0.991635,64,1.64
1723127090,56864,82.4,1.311,4719.6,12.8932,64,1.64
1723127091,58177,82.4,1.357,4885.2,2.9749,64,1.64
1723127092,59483,82.6,1.380,4968,0.991635,64,1.64
1723127094,60798,82.4,1.403,5050.8,1.98265,64,1.64
1723127095,62116,82.3,1.426,5133.6,0.991789,64,1.64
1723127096,63431,82.2,1.472,5299.2,0.991328,64,1.64
1723127098,64746,84.1,1.495,5382,0.989946,64,1.64
1723127099,66058,82.7,1.518,5464.8,0.992096,64,1.64
1723127100,67383,82.2,1.563,5626.8,1.98388,64,1.64
1723127102,68689,82.3,1.586,5709.6,1.98326,64,1.64
1723127103,70002,82.3,1.609,5792.4,0.991635,64,1.64
1723127104,71311,82.5,1.655,5958,0.991635,64,1.64
1723127106,72617,82.3,1.678,6040.8,0.991482,64,1.63
1723127107,73932,82.2,1.701,6123.6,0,64,1.63
1723127108,75241,82.3,1.747,6289.2,0.991789,64,1.63
1723127109,76548,84.0,1.770,6372,0.991635,64,1.63
1723127111,77858,82.7,1.793,6454.8,4.95816,64,1.63
1723127112,79170,82.3,1.816,6537.6,0.991635,64,1.63
1723127113,80534,82.2,1.861,6699.6,1.98296,64,1.63
1723127115,81843,82.3,1.884,6782.4,0.992096,64,1.63
1723127116,83156,84.1,1.908,6868.8,1.98296,64,1.63
1723127117,84472,82.1,1.953,7030.8,0,64,1.63
1723127119,85792,82.2,1.976,7113.6,0.991635,64,1.63
1723127120,87107,82.2,1.999,7196.4,3.96715,64,1.63
1723127121,88416,83.9,2.045,7362,0,64,1.63
1723127123,89725,82.7,2.068,7444.8,0,64,1.64
1723127124,91032,82.2,2.091,7527.6,12.8952,64,1.63
1723127125,92341,81.9,2.137,7693.2,0.992096,64,1.63
1723127127,93655,82.2,2.159,7772.4,0.991635,64,1.63
1723127128,94979,84.1,2.183,7858.8,6.93926,64,1.64
1723127129,96298,82.7,2.228,8020.8,0.991328,64,1.64
1723127131,97620,82.3,2.251,8103.6,9.91482,64,1.64
1723127132,98943,82.3,2.274,8186.4,0.991482,64,1.64
1723127133,100273,82.2,2.320,8352,4.95663,64,1.64
1723127135,101597,82.8,2.343,8434.8,0.991482,64,1.64
1723127136,102914,82.3,2.366,8517.6,1.98296,64,1.64
1723127137,104231,82.2,2.412,8683.2,0.991328,64,1.63
1723127138,105545,82.1,2.435,8766,0.991174,64,1.63
1723127140,106863,84.1,2.458,8848.8,4.95971,64,1.63
1723127141,108175,82.7,2.481,8931.6,4.95586,64,1.63
1723127142,109500,82.1,2.526,9093.6,4.9574,64,1.63
1723127144,110831,82.2,2.549,9176.4,0.991174,64,1.63
1723127145,112143,82.2,2.572,9259.2,0.991482,64,1.63
1723127146,113447,82.5,2.618,9424.8,0.991635,64,1.63
1723127148,114758,82.1,2.641,9507.6,0,64,1.63
1723127149,116070,82.3,2.664,9590.4,5.95072,64,1.63
1723127150,117384,81.9,2.709,9752.4,0.991635,64,1.63
1723127152,118702,84.0,2.733,9838.8,5.95072,64,1.63
1723127153,120025,82.8,2.756,9921.6,0.991942,64,1.63
1723127154,121336,81.9,2.801,10083.6,0.991482,64,1.63
1723127156,122689,82.2,2.824,10166.4,0,64,1.63
1723127157,124004,82.1,2.847,10249.2,1.98204,64,1.63
1723127158,125318,82.5,2.893,10414.8,6.92858,64,1.63
1723127160,126630,82.2,2.916,10497.6,1.98234,64,1.63
1723127161,127937,82.3,2.939,10580.4,8.92333,64,1.63
1723127162,129251,82.1,2.984,10742.4,1.98296,64,1.63
1723127164,130560,83.9,3.008,10828.8,0.991635,64,1.62
1723127165,131872,82.7,3.031,10911.6,1.98296,64,1.63
1723127166,133193,82.1,3.053,10990.8,0.991482,64,1.63
1723127167,134517,82.1,3.099,11156.4,5.95164,64,1.63
