DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723136942,272,84.6,0.000,0,1134.95,64,1.73
1723136943,1654,88.8,0.025,90,1638.46,64,2.66
1723136944,2994,97.7,0.078,280.8,1597.27,64,3.53
1723136946,4447,97.6,0.105,378,1597.52,64,4.00
1723136947,5835,93.9,0.158,568.8,1602.98,64,4.08
1723136949,7291,94.6,0.184,662.4,1639.93,64,2.46
1723136950,8701,96.0,0.238,856.8,1620.13,64,2.15
1723136951,10046,96.3,0.265,954,1600.5,64,2.15
1723136953,11378,94.6,0.291,1047.6,1605.71,64,2.16
1723136954,12821,94.7,0.344,1238.4,1615.36,64,2.16
1723136956,14158,94.0,0.370,1332,1605.7,64,2.22
1723136957,15510,95.0,0.396,1425.6,1607.69,64,2.32
1723136958,16836,95.0,0.449,1616.4,1585.51,64,2.54
1723136960,18164,94.1,0.475,1710,1604.72,64,2.68
1723136961,19485,93.0,0.501,1803.6,1591.55,64,2.80
1723136962,20823,94.9,0.553,1990.8,1606.44,64,2.91
1723136964,22152,94.8,0.579,2084.4,1601.48,64,2.95
1723136965,23476,93.8,0.605,2178,1594.53,64,2.96
1723136966,24806,93.2,0.657,2365.2,1595.53,64,2.98
1723136968,26126,93.4,0.683,2458.8,1600.25,64,3.04
1723136969,27454,94.6,0.709,2552.4,1601.24,64,3.05
1723136970,28782,92.9,0.761,2739.6,1601.98,64,3.05
1723136972,30121,93.1,0.787,2833.2,1609.67,64,3.14
1723136973,31441,93.0,0.813,2926.8,1601.73,64,3.17
1723136974,32790,93.7,0.864,3110.4,1606.94,64,3.19
1723136976,34105,94.7,0.891,3207.6,1606.94,64,3.38
1723136977,35442,93.1,0.917,3301.2,1601.98,64,3.46
1723136978,36772,92.3,0.968,3484.8,1602.48,64,3.48
1723136980,38124,92.6,0.994,3578.4,1600,64,3.55
1723136981,39455,94.3,1.020,3672,1610.41,64,3.65
1723136982,40777,92.0,1.071,3855.6,1598.76,64,3.66
1723136984,42096,92.5,1.097,3949.2,1606.94,64,3.68
1723136985,43447,93.1,1.123,4042.8,1536.6,64,3.79
1723136986,44768,94.4,1.175,4230,1617.38,64,3.88
1723136988,46095,93.6,1.201,4323.6,1601.98,64,3.89
1723136989,47425,92.5,1.227,4417.2,1600.99,64,3.93
1723136990,48773,91.5,1.278,4600.8,1121.35,64,4.06
1723136992,50160,89.9,1.303,4690.8,765.229,64,4.16
1723136993,51495,90.6,1.328,4780.8,829.37,64,4.27
1723136994,52849,89.8,1.378,4960.8,876.339,64,4.41
1723136996,54186,90.4,1.403,5050.8,995.226,64,4.55
1723136997,55531,90.6,1.429,5144.4,799.75,64,4.65
1723136998,56842,90.7,1.479,5324.4,1603.47,64,4.65
1723137000,58167,90.9,1.504,5414.4,1589.31,64,4.65
1723137001,59493,89.6,1.529,5504.4,1601.48,64,4.65
1723137002,60803,89.7,1.579,5684.4,1622.07,64,4.65
1723137004,62123,89.7,1.603,5770.8,1601.98,64,4.65
1723137005,63460,90.8,1.629,5864.4,1607.69,64,4.65
1723137006,64789,89.3,1.679,6044.4,1601.48,64,4.65
1723137008,66109,89.8,1.704,6134.4,1621.08,64,4.65
1723137009,67436,89.6,1.729,6224.4,1601.73,64,4.65
1723137010,68776,90.7,1.779,6404.4,1605.45,64,4.64
1723137012,70132,91.5,1.804,6494.4,1604.21,64,4.70
1723137013,71479,94.9,1.831,6591.6,1611.9,64,4.76
