DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723135262,278,87.2,0.000,0,1049.4,64,1.87
1723135269,6438,130.5,0.175,630,5888.13,64,11.48
1723135275,12614,128.5,0.416,1497.6,5447.23,64,3.86
1723135280,18331,127.7,0.631,2271.6,6369.08,64,4.06
1723135286,23770,123.1,0.802,2887.2,5675.17,64,6.16
1723135291,29159,126.8,1.013,3646.8,6390.18,64,7.11
1723135297,34776,125.1,1.189,4280.4,6388.63,64,7.58
1723135303,40529,125.5,1.397,5029.2,6371.14,64,8.99
1723135308,46224,122.3,1.604,5774.4,6381.09,64,9.86
1723135314,51652,122.8,1.772,6379.2,5472.26,64,10.79
1723135319,57010,97.5,1.930,6948,3550.75,64,11.45
1723135324,62376,93.3,2.084,7502.4,887.411,64,11.93
1723135330,67752,92.0,2.212,7963.2,923.411,64,12.46
1723135335,73084,92.7,2.367,8521.2,1108.35,64,13.11
1723135340,78418,91.4,2.497,8989.2,1065.28,64,13.69
1723135346,84009,112.9,2.634,9482.4,3444.42,64,13.85
1723135352,89858,112.4,2.822,10159.2,6384.89,64,13.85
1723135358,96015,113.0,3.011,10839.6,6397.62,64,14.08
1723135364,101976,133.5,3.232,11635.2,6399.8,64,15.48
1723135370,108077,129.4,3.452,12427.2,6381.41,64,15.79
1723135377,114687,120.0,3.695,13302,6359.69,64,15.92
1723135384,121269,121.7,3.897,14029.2,6399.8,64,15.93
1723135390,127722,122.5,4.136,14889.6,6397.81,64,15.92
1723135396,134151,123.1,4.340,15624,6395.03,64,15.92
1723135403,140746,122.1,4.579,16484.4,6399.4,64,15.93
1723135409,147182,123.9,4.784,17222.4,6400,64,15.75
1723135416,153632,124.1,5.022,18079.2,6398.81,64,15.77
1723135422,160222,122.6,5.226,18813.6,6399.21,64,15.77
1723135429,166643,123.0,5.463,19666.8,6397.81,64,15.76
1723135435,173101,122.7,5.668,20404.8,6398.8,64,15.74
1723135442,179762,122.5,5.907,21265.2,6400,64,15.74
1723135448,186159,122.1,6.111,21999.6,6400,64,15.73
1723135455,192600,123.0,6.351,22863.6,6398.6,64,15.73
1723135461,198949,123.0,6.556,23601.6,6398.41,64,15.73
1723135468,205492,122.3,6.761,24339.6,6400,64,15.73
1723135474,212061,122.0,6.999,25196.4,6398,64,15.73
1723135481,218511,122.0,7.237,26053.2,6399.4,64,15.72
1723135487,224647,124.0,7.442,26791.2,6399.01,64,15.73
1723135493,230981,123.8,7.646,27525.6,6400,64,15.73
1723135500,237574,124.6,7.886,28389.6,6400,64,15.72
1723135506,243912,123.0,8.090,29124,6399.6,64,15.73
1723135513,250418,124.3,8.296,29865.6,6400,64,15.72
1723135519,256780,123.2,8.536,30729.6,6397.42,64,15.73
1723135525,263059,122.5,8.741,31467.6,6400,64,15.73
1723135532,269428,123.1,8.980,32328,6399.6,64,15.73
1723135538,275689,122.5,9.185,33066,6398.02,64,15.73
1723135544,282100,122.4,9.390,33804,6400,64,15.73
1723135551,288449,122.4,9.629,34664.4,6396.83,64,15.74
1723135557,294784,122.3,9.833,35398.8,6399.4,64,15.74
1723135563,301068,122.5,10.038,36136.8,6397.41,64,15.75
1723135570,307377,122.8,10.277,36997.2,6400,64,15.75
1723135576,313931,122.6,10.482,37735.2,6400,64,15.75
1723135583,320341,122.4,10.687,38473.2,6398.8,64,15.77
1723135589,326758,122.4,10.926,39333.6,6396.41,64,15.78
1723135595,333149,124.1,11.131,40071.6,6399.01,64,15.79
1723135602,340062,124.1,11.370,40932,6400,64,15.80
1723135609,346570,123.1,11.608,41788.8,6399.8,64,15.81
1723135615,353030,122.4,11.813,42526.8,6398.41,64,15.81
1723135622,359349,122.5,12.018,43264.8,6399.01,64,15.82
1723135628,365768,122.5,12.257,44125.2,6400,64,15.82
1723135634,372041,122.3,12.462,44863.2,6398.41,64,15.82
1723135641,378439,122.3,12.666,45597.6,6395.62,64,15.82
1723135647,384860,122.2,12.904,46454.4,6399.8,64,15.82
1723135653,391169,122.2,13.109,47192.4,6400,64,15.82
1723135660,397541,122.4,13.347,48049.2,6396.42,64,15.82
1723135666,403879,122.4,13.552,48787.2,6400,64,15.82
1723135673,410418,122.4,13.757,49525.2,6400,64,15.82
1723135679,416872,122.5,13.996,50385.6,6400,64,15.82
1723135685,423175,124.2,14.201,51123.6,6400,64,15.82
1723135691,429213,123.8,14.405,51858,6398.6,64,15.82
1723135698,435540,124.0,14.644,52718.4,6400,64,15.82
1723135704,441953,123.2,14.849,53456.4,6397.61,64,15.81
1723135710,448221,123.1,15.053,54190.8,6400,64,15.82
1723135717,454621,123.1,15.292,55051.2,6398.41,64,15.82
1723135724,461378,122.1,15.496,55785.6,6398.22,64,15.83
1723135730,467789,122.2,15.735,56646,6400,64,15.83
1723135737,474309,122.2,15.939,57380.4,6398,64,15.82
1723135743,480739,122.3,16.177,58237.2,6398.8,64,15.82
1723135749,487101,122.3,16.382,58975.2,6397.61,64,15.83
1723135756,493460,122.5,16.620,59832,6400,64,15.83
1723135762,499770,122.6,16.826,60573.6,6400,64,15.83
1723135769,506319,122.6,17.030,61308,6393.83,64,15.83
1723135775,512789,122.6,17.270,62172,6399,64,15.83
1723135781,519139,124.1,17.475,62910,6400,64,15.83
1723135788,525492,124.0,17.713,63766.8,6398.01,64,15.83
1723135794,531821,123.0,17.918,64504.8,6399.8,64,15.83
1723135800,538178,123.1,18.122,65239.2,6400,64,15.83
1723135807,544689,123.3,18.361,66099.6,6399.01,64,15.84
1723135813,551040,122.6,18.566,66837.6,6398.21,64,15.84
1723135820,557469,122.5,18.771,67575.6,6398.81,64,15.84
1723135826,563748,122.6,19.010,68436,6400,64,15.84
1723135832,570109,122.4,19.215,69174,6399.21,64,15.84
1723135839,576522,122.6,19.454,70034.4,6398.02,64,15.84
1723135845,582844,122.6,19.659,70772.4,6399.6,64,15.84
1723135851,589311,122.6,19.864,71510.4,6399.4,64,15.84
1723135858,595600,122.6,20.103,72370.8,6397.22,64,15.84
1723135864,602031,122.5,20.308,73108.8,6399.8,64,15.83
1723135871,608411,122.5,20.548,73972.8,6400,64,15.84
1723135877,614759,122.6,20.752,74707.2,6397.8,64,15.83
1723135883,621088,124.3,20.958,75448.8,6399.8,64,15.83
1723135890,627588,124.2,21.197,76309.2,6399.4,64,15.83
1723135896,634042,123.4,21.402,77047.2,6398.02,64,15.84
1723135903,640450,123.4,21.641,77907.6,6400,64,15.84
1723135909,646669,123.4,21.846,78645.6,6399.01,64,15.84
1723135915,653037,122.5,22.051,79383.6,6398.01,64,15.84
1723135922,659513,122.7,22.290,80244,6399.01,64,15.84
1723135928,666019,122.9,22.496,80985.6,6399.8,64,15.84
1723135935,672463,122.8,22.735,81846,6397.81,64,15.84
1723135941,678742,122.8,22.940,82584,6399.6,64,15.84
1723135947,684952,122.8,23.146,83325.6,6399.8,64,15.84
1723135954,691330,122.8,23.351,84063.6,6400,64,15.84
1723135960,697610,122.7,23.590,84924,6398.8,64,15.84
1723135966,704210,122.7,23.796,85665.6,6400,64,15.84
1723135973,710549,122.7,24.035,86526,6400,64,15.83
1723135979,716910,124.3,24.240,87264,6400,64,15.83
1723135985,723249,124.2,24.446,88005.6,6396.61,64,15.84
1723135992,729770,124.2,24.685,88866,6397.42,64,15.84
1723135998,736090,123.6,24.890,89604,6400,64,15.84
1723136005,742499,123.6,25.129,90464.4,6396.22,64,15.84
1723136011,748731,123.5,25.334,91202.4,6398.6,64,15.84
1723136017,754970,122.9,25.539,91940.4,6399.8,64,15.84
1723136024,761390,122.8,25.745,92682,6400,64,15.84
1723136030,767690,122.8,25.984,93542.4,6397.02,64,15.84
1723136036,774221,122.7,26.189,94280.4,6386.89,64,15.84
1723136043,780565,122.6,26.428,95140.8,6398.81,64,15.84
