DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723128033,279,83.8,0.024,86.4,633.438,64,1.75
1723128039,6045,133.8,0.199,716.4,6086.16,64,2.65
1723128045,11975,134.8,0.424,1526.4,6400,64,2.65
1723128051,17874,135.5,0.650,2340,6400,64,2.66
1723128057,23776,135.9,0.877,3157.2,6400,64,2.66
1723128063,29525,136.2,1.105,3978,6400,64,2.66
1723128069,35396,136.6,1.333,4798.8,6400,64,2.66
1723128074,41243,136.7,1.524,5486.4,6399.01,64,2.66
1723128080,47015,137.0,1.753,6310.8,6400,64,2.66
1723128086,52983,137.2,1.982,7135.2,6398.21,64,2.66
1723128092,58884,137.5,2.212,7963.2,6400,64,2.66
1723128098,64745,137.7,2.442,8791.2,6399.21,64,2.67
1723128104,70644,137.8,2.672,9619.2,6400,64,2.67
1723128110,76564,137.9,2.903,10450.8,6400,64,2.67
1723128115,82224,138.0,3.133,11278.8,6400,64,2.65
1723128121,87702,118.5,3.312,11923.2,4970.14,64,2.09
1723128126,93043,88.3,3.448,12412.8,1160.68,64,1.63
1723128132,98736,134.7,0.130,468,3555.71,64,1.70
1723128138,104604,135.8,0.357,1285.2,6400,64,1.70
1723128144,110474,136.9,0.584,2102.4,6400,64,1.71
1723128150,116394,137.2,0.812,2923.2,6400,64,1.71
1723128155,122014,137.4,1.002,3607.2,6378.53,64,1.71
1723128160,127459,137.2,1.230,4428,6359.79,64,1.71
1723128166,132855,137.9,1.420,5112,6335.99,64,1.71
1723128172,138526,136.7,1.649,5936.4,6388.44,64,1.71
1723128177,144302,136.7,1.878,6760.8,6397.02,64,1.71
1723128183,150095,136.9,2.067,7441.2,6398.22,64,1.71
1723128189,155955,137.0,2.296,8265.6,6400,64,1.72
1723128195,161795,137.0,2.525,9090,6400,64,1.71
1723128201,167645,137.1,2.754,9914.4,6400,64,1.71
1723128207,173545,137.0,2.984,10742.4,6400,64,1.72
1723128213,179475,137.2,3.213,11566.8,6400,64,1.72
1723128218,185038,132.6,3.403,12250.8,6044.28,64,1.69
1723128223,190358,86.2,3.571,12855.6,1323.46,64,1.65
