DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723128033,277,83.8,0.024,86.4,633.439,64,1.79
1723128035,2081,105.4,0.052,187.2,5122.14,64,2.65
1723128037,3911,133.0,0.125,450,6400,64,2.65
1723128039,5811,133.8,0.199,716.4,6400,64,2.65
1723128041,7652,135.0,0.275,990,6400,64,2.65
1723128043,9542,134.6,0.350,1260,6400,64,2.65
1723128045,11461,134.8,0.424,1526.4,6400,64,2.65
1723128047,13351,136.7,0.500,1800,6400,64,2.65
1723128048,15242,135.2,0.538,1936.8,6400,64,2.65
1723128050,17190,135.4,0.613,2206.8,6400,64,2.66
1723128052,19040,137.2,0.688,2476.8,6399.05,64,2.66
1723128054,20871,135.7,0.764,2750.4,6400,64,2.66
1723128056,22752,135.8,0.839,3020.4,6400,64,2.66
1723128058,24632,137.7,0.915,3294,6400,64,2.66
1723128060,26472,136.2,0.991,3567.6,6400,64,2.66
1723128062,28352,136.2,1.067,3841.2,6400,64,2.65
1723128063,30191,136.2,1.105,3978,6400,64,2.66
1723128065,32062,137.3,1.181,4251.6,6400,64,2.66
1723128067,33941,136.5,1.257,4525.2,6400,64,2.66
1723128069,35860,136.6,1.333,4798.8,6400,64,2.66
1723128071,37761,137.5,1.410,5076,6400,64,2.66
1723128073,39459,136.7,1.485,5346,6400,64,2.66
1723128074,41182,136.7,1.524,5486.4,6395.18,64,2.66
1723128076,43082,138.5,1.600,5760,6400,64,2.66
1723128078,44921,137.0,1.676,6033.6,6400,64,2.66
1723128080,46821,137.0,1.753,6310.8,6400,64,2.66
1723128082,48810,138.7,1.829,6584.4,6400,64,2.66
1723128084,50692,137.1,1.906,6861.6,6395.08,64,2.66
1723128086,52521,137.2,1.982,7135.2,6397.14,64,2.66
1723128088,54481,137.3,2.059,7412.4,6400,64,2.66
1723128090,56361,138.2,2.135,7686,6400,64,2.67
1723128091,58211,137.5,2.212,7963.2,6400,64,2.67
1723128093,60150,137.5,2.250,8100,6400,64,2.67
1723128095,62070,138.3,2.327,8377.2,6400,64,2.67
1723128097,63951,137.6,2.403,8650.8,6400,64,2.67
1723128099,65840,137.6,2.480,8928,6400,64,2.67
1723128101,67671,138.5,2.557,9205.2,6400,64,2.67
1723128103,69491,137.7,2.634,9482.4,6400,64,2.67
1723128105,71442,137.8,2.710,9756,6400,64,2.67
1723128107,73331,139.5,2.787,10033.2,6400,64,2.67
1723128108,75252,137.9,2.864,10310.4,6400,64,2.67
1723128110,77111,137.9,2.903,10450.8,6400,64,2.67
1723128112,78980,139.6,2.979,10724.4,6400,64,2.67
1723128114,80890,137.9,3.056,11001.6,6400,64,2.67
1723128116,82499,138.1,3.133,11278.8,6400,64,2.66
1723128117,83849,137.8,3.171,11415.6,6069.61,64,2.54
1723128118,85206,136.0,3.244,11678.4,5015.6,64,2.38
1723128120,86643,123.1,3.278,11800.8,4405.96,64,2.25
1723128121,87965,118.5,3.312,11923.2,3595.78,64,2.05
1723128122,89318,103.2,3.372,12139.2,2123.74,64,1.79
1723128124,90632,96.9,3.398,12232.8,967.386,64,1.71
1723128125,91952,91.5,3.424,12326.4,551.177,64,1.67
1723128126,93261,87.0,3.472,12499.2,338.461,64,1.63
