DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723128128,258,85.8,0.000,0,639.241,64,1.61
1723128130,1925,85.3,0.056,201.6,3461.53,64,1.70
1723128132,3831,134.7,0.130,468,6400,64,1.70
1723128133,5761,135.0,0.168,604.8,6400,64,1.70
1723128135,7614,135.4,0.243,874.8,6400,64,1.70
1723128137,9561,136.5,0.319,1148.4,6400,64,1.70
1723128139,11452,135.9,0.395,1422,6400,64,1.70
1723128141,13332,136.0,0.470,1692,6400,64,1.71
1723128143,15173,136.9,0.547,1969.2,6400,64,1.70
1723128145,17072,136.3,0.622,2239.2,6400,64,1.71
1723128147,18983,136.2,0.698,2512.8,6400,64,1.70
1723128149,20801,138.0,0.774,2786.4,6400,64,1.70
1723128150,22672,136.4,0.812,2923.2,6400,64,1.71
1723128152,24541,136.4,0.888,3196.8,6400,64,1.71
1723128154,26363,137.9,0.964,3470.4,6356.77,64,1.71
1723128155,27811,135.9,1.040,3744,6335.43,64,1.71
1723128157,29199,136.1,1.078,3880.8,6305.75,64,1.71
1723128158,30645,136.1,1.154,4154.4,6400,64,1.70
1723128160,32392,137.8,1.192,4291.2,6315.19,64,1.71
1723128162,34133,136.3,1.268,4564.8,6359.53,64,1.71
1723128163,35643,136.6,1.343,4834.8,6300.79,64,1.71
1723128165,37032,136.0,1.382,4975.2,6300.77,64,1.71
1723128166,38565,137.9,1.420,5112,6317.12,64,1.71
1723128168,40234,136.5,1.496,5385.6,6391.24,64,1.71
1723128170,41952,136.7,1.572,5659.2,6385.41,64,1.71
1723128172,43971,136.7,1.649,5936.4,6388.65,64,1.71
1723128174,45932,137.6,1.724,6206.4,6393.32,64,1.71
1723128176,47812,136.8,1.800,6480,6400,64,1.71
1723128177,49662,136.7,1.838,6616.8,6392.44,64,1.71
1723128179,51552,137.4,1.915,6894,6396.15,64,1.71
1723128181,53323,136.8,1.991,7167.6,6400,64,1.71
1723128183,55223,136.9,2.067,7441.2,6400,64,1.71
1723128185,57142,137.6,2.144,7718.4,6400,64,1.71
1723128187,59022,136.9,2.219,7988.4,6400,64,1.71
1723128189,60913,137.0,2.296,8265.6,6400,64,1.71
1723128191,62854,138.7,2.373,8542.8,6400,64,1.72
1723128192,64741,137.0,2.449,8816.4,6400,64,1.71
1723128194,66622,137.0,2.487,8953.2,6400,64,1.71
1723128196,68553,138.7,2.564,9230.4,6400,64,1.71
1723128198,70422,136.9,2.640,9504,6400,64,1.71
1723128200,72352,137.0,2.716,9777.6,6400,64,1.71
1723128202,74233,138.8,2.793,10054.8,6400,64,1.71
1723128204,76091,137.0,2.869,10328.4,6400,64,1.71
1723128206,77972,137.0,2.945,10602,6400,64,1.71
1723128208,79913,137.2,3.022,10879.2,6400,64,1.72
1723128210,81763,137.9,3.098,11152.8,6400,64,1.72
1723128211,83702,137.2,3.136,11289.6,6400,64,1.72
1723128213,85563,137.1,3.213,11566.8,6400,64,1.72
1723128215,87443,138.0,3.290,11844,6400,64,1.72
1723128217,89019,137.1,3.366,12117.6,6315.52,64,1.71
1723128218,90353,132.6,3.403,12250.8,5024.96,64,1.69
1723128219,91680,112.0,3.468,12484.8,3084.53,64,1.68
1723128221,93003,101.5,3.496,12585.6,1691.26,64,1.66
1723128222,94332,94.7,3.522,12679.2,699.987,64,1.65
1723128223,95658,89.0,3.571,12855.6,190.364,64,1.65
