DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723112563,258,84.2,0.000,0,388.538,64
1723112564,1560,85.4,0.024,86.4,123.954,64
1723112565,2886,84.1,0.070,252,104.3,64
1723112567,4218,83.7,0.093,334.8,106.302,64
1723112568,5531,83.7,0.117,421.2,107.263,64
1723112569,6840,83.6,0.140,504,126.948,64
1723112571,8167,84.0,0.187,673.2,123,64
1723112572,9547,85.9,0.211,759.6,1379.51,64
1723112573,10984,91.1,0.261,939.6,1598.51,64
1723112575,12392,91.3,0.286,1029.6,1631.76,64
1723112576,13805,93.6,0.312,1123.2,1600.25,64
1723112578,15182,91.3,0.363,1306.8,1598.52,64
1723112579,16483,91.4,0.389,1400.4,1599.26,64
1723112580,17870,91.4,0.414,1490.4,1636.72,64
1723112582,19282,93.0,0.466,1677.6,1599.01,64
1723112583,20706,92.1,0.491,1767.6,1599.26,64
1723112585,22111,91.1,0.542,1951.2,1599.01,64
1723112586,23542,91.8,0.567,2041.2,1648.61,64
1723112587,24979,91.9,0.618,2224.8,1600,64
1723112589,26330,92.0,0.644,2318.4,1601.98,64
1723112590,27745,91.4,0.669,2408.4,1604.71,64
1723112591,29056,91.6,0.721,2595.6,1647.9,64
1723112593,30435,91.3,0.746,2685.6,1587.06,64
1723112594,31842,93.2,0.772,2779.2,1586.81,64
1723112596,33277,91.2,0.823,2962.8,1599.5,64
1723112597,34669,91.8,0.848,3052.8,1642.43,64
1723112598,36041,91.6,0.899,3236.4,1598.76,64
1723112600,37452,93.3,0.924,3326.4,1601.49,64
1723112601,38798,92.2,0.950,3420,1600.25,64
1723112603,40174,91.7,1.001,3603.6,1639.17,64
1723112604,41557,91.5,1.027,3697.2,1587.56,64
1723112605,42956,91.4,1.078,3880.8,1599.75,64
1723112607,44262,92.1,1.103,3970.8,1600.99,64
1723112608,45681,91.8,1.129,4064.4,1632.25,64
1723112610,47105,91.1,1.179,4244.4,1599.01,64
1723112611,48532,91.6,1.205,4338,1598.02,64
1723112612,49968,93.3,1.257,4525.2,1599.51,64
1723112614,51399,91.8,1.282,4615.2,1600.74,64
