DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723111146,277,82.2,0.024,86.4,388.264,64
1723111152,5588,83.5,0.140,504,135.524,64
1723111157,10898,83.2,0.256,921.6,131.33,64
1723111162,16209,83.0,0.395,1422,126.046,64
1723111168,21518,82.8,0.511,1839.6,127.261,64
1723111173,26828,83.4,0.627,2257.2,129.443,64
1723111178,32122,84.9,0.743,2674.8,131.215,64
1723111184,37417,84.9,0.882,3175.2,128.46,64
1723111189,42721,83.0,0.998,3592.8,129.43,64
1723111194,48027,82.8,1.114,4010.4,129.039,64
1723111199,53330,83.1,1.253,4510.8,130.221,64
1723111205,58635,83.0,1.369,4928.4,130.025,64
1723111210,63936,82.8,1.485,5346,131.224,64
1723111215,69231,83.0,1.624,5846.4,128.256,64
1723111221,74538,83.2,1.740,6264,129.638,64
1723111226,79840,84.9,1.856,6681.6,128.652,64
1723111231,85139,83.3,1.971,7095.6,127.449,64
1723111237,90434,83.1,2.110,7596,124.056,64
1723111242,95736,83.1,2.226,8013.6,124.257,64
1723111247,101052,83.1,2.342,8431.2,126.031,64
1723111253,106353,82.7,2.481,8931.6,128.04,64
1723111258,111665,82.9,2.597,9349.2,129.051,64
1723111263,116989,83.3,2.713,9766.8,129.874,64
1723111268,122284,83.2,2.852,10267.2,130.042,64
1723111274,127582,84.8,2.967,10681.2,129.071,64
1723111279,132889,82.9,3.083,11098.8,130.054,64
1723111284,138197,82.8,3.222,11599.2,129.051,64
1723111290,143503,82.9,3.338,12016.8,129.642,64
1723111295,148828,83.0,3.453,12430.8,129.821,64
1723111300,154137,82.6,3.569,12848.4,132.014,64
1723111306,159451,82.9,3.708,13348.8,130.021,64
1723111311,164750,83.2,3.824,13766.4,128.435,64
1723111316,170047,84.8,3.940,14184,126.419,64
1723111322,175356,84.7,4.078,14680.8,126.238,64
1723111327,180657,83.0,4.194,15098.4,124.648,64
1723111332,185974,82.9,4.309,15512.4,126.458,64
1723111337,191276,82.9,4.448,16012.8,127.453,64
1723111343,196572,82.6,4.564,16430.4,129.043,64
1723111348,201868,82.7,4.680,16848,128.851,64
1723111353,207171,83.2,4.795,17262,129.658,64
1723111359,212476,83.3,4.934,17762.4,131.843,64
1723111364,217781,84.5,5.050,18180,129.45,64
1723111369,223092,82.8,5.165,18594,130.213,64
1723111375,228405,83.0,5.304,19094.4,128.863,64
1723111380,233705,82.8,5.419,19508.4,129.43,64
1723111385,239021,82.8,5.535,19926,131.212,64
1723111390,244320,82.9,5.674,20426.4,130.029,64
1723111396,249630,82.8,5.790,20844,126.853,64
1723111401,254938,83.1,5.905,21258,123.649,64
1723111406,260247,84.7,6.044,21758.4,124.052,64
1723111412,265564,84.5,6.159,22172.4,125.478,64
1723111417,270859,83.0,6.274,22586.4,129.035,64
1723111422,276191,82.7,6.390,23004,129.443,64
1723111428,281486,82.7,6.529,23504.4,128.252,64
1723111433,286784,82.4,6.644,23918.4,130.245,64
1723111438,292097,82.7,6.760,24336,130.017,64
1723111444,297401,82.7,6.899,24836.4,129.837,64
1723111449,302708,83.2,7.014,25250.4,130.221,64
1723111454,308008,84.5,7.130,25668,130.824,64
1723111459,313307,84.7,7.268,26164.8,127.668,64
1723111465,318639,82.9,7.384,26582.4,130.233,64
1723111470,323947,82.8,7.499,26996.4,128.044,64
1723111475,329254,82.7,7.638,27496.8,125.271,64
1723111481,334553,82.6,7.753,27910.8,124.252,64
1723111486,339867,82.7,7.868,28324.8,124.264,64
1723111491,345178,83.2,7.984,28742.4,126.849,64
1723111497,350495,82.8,8.122,29239.2,130.025,64
1723111502,355795,85.0,0.093,334.8,133.171,64
1723111507,361092,83.4,0.208,748.8,174.518,64
1723111513,366403,83.2,0.347,1249.2,229.542,64
1723111518,371706,83.0,0.464,1670.4,230.305,64
1723111523,377017,83.2,0.580,2088,228.728,64
1723111528,382325,83.2,0.719,2588.4,229.905,64
1723111534,387625,83.2,0.836,3009.6,229.52,64
1723111539,392936,83.4,0.952,3427.2,232.095,64
1723111544,398240,85.0,1.092,3931.2,228.95,64
1723111550,403541,85.3,1.208,4348.8,230.911,64
1723111555,408854,83.3,1.323,4762.8,230.933,64
1723111560,414159,83.0,1.440,5184,230.497,64
1723111566,419467,83.4,1.579,5684.4,229.528,64
1723111571,424789,83.4,1.696,6105.6,229.949,64
1723111576,430091,83.2,1.812,6523.2,228.336,64
1723111582,435400,83.3,1.952,7027.2,228.529,64
1723111587,440703,83.7,2.068,7444.8,226.952,64
1723111592,446002,85.3,2.185,7866,226.317,64
1723111597,451319,85.0,2.324,8366.4,226.145,64
1723111603,456620,83.5,2.440,8784,227.901,64
1723111608,461940,83.4,2.556,9201.6,226.296,64
1723111613,467235,83.5,2.696,9705.6,227.694,64
1723111619,472538,83.2,2.813,10126.8,228.742,64
1723111624,477839,83.3,2.929,10544.4,228.179,64
1723111629,483152,83.9,3.046,10965.6,232.317,64
1723111635,488461,83.7,3.186,11469.6,230.733,64
1723111640,493761,85.0,3.302,11887.2,229.549,64
1723111645,499073,83.4,3.418,12304.8,229.306,64
1723111651,504380,83.6,3.558,12808.8,230.883,64
1723111656,509680,83.5,3.675,13230,229.692,64
1723111661,514988,83.3,3.791,13647.6,229.549,64
1723111666,520313,83.3,3.932,14155.2,229.713,64
1723111672,525633,83.7,4.048,14572.8,229.756,64
1723111677,530932,84.0,4.165,14994,229.884,64
1723111682,536235,85.3,4.305,15498,228.5,64
1723111688,541546,85.5,4.421,15915.6,224.947,64
1723111693,546853,83.6,4.538,16336.8,225.325,64
1723111698,552160,83.6,4.654,16754.4,224.884,64
1723111704,557464,83.3,4.795,17262,228.557,64
1723111709,562774,83.7,4.911,17679.6,229.528,64
1723111714,568074,83.6,5.028,18100.8,229.327,64
1723111720,573374,83.7,5.168,18604.8,230.362,64
1723111725,578676,83.7,5.285,19026,229.149,64
1723111730,583981,85.4,5.401,19443.6,230.733,64
1723111735,589292,85.5,5.541,19947.6,229.92,64
1723111741,594610,83.7,5.657,20365.2,229.661,64
1723111746,599913,83.4,5.774,20786.4,229.898,64
1723111751,605216,83.4,5.914,21290.4,230.719,64
1723111757,610516,83.7,6.031,21711.6,228.735,64
1723111762,615832,83.6,6.148,22132.8,230.712,64
1723111767,621146,84.0,6.265,22554,227.715,64
1723111773,626464,84.1,6.405,23058,225.182,64
1723111778,631767,85.4,6.521,23475.6,224.34,64
1723111783,637076,83.7,6.637,23893.2,223.405,64
1723111789,642388,83.3,6.778,24400.8,225.14,64
1723111794,647691,83.5,6.894,24818.4,228.329,64
1723111799,652991,83.6,7.011,25239.6,229.114,64
1723111804,658323,83.6,7.151,25743.6,227.587,64
1723111810,663630,83.5,7.268,26164.8,229.528,64
1723111815,668956,83.8,7.384,26582.4,228.971,64
1723111820,674255,85.4,7.525,27090,228.735,64
1723111826,679562,85.5,7.641,27507.6,230.705,64
1723111831,684883,83.5,7.757,27925.2,230.683,64
1723111836,690187,83.3,7.898,28432.8,230.676,64
1723111842,695502,83.5,8.014,28850.4,230.591,64
1723111847,700805,83.5,8.131,29271.6,227.88,64
1723111852,706107,83.6,8.247,29689.2,225.34,64
1723111858,711405,83.4,8.387,30193.2,218.74,64
1723111863,716715,84.0,0.093,334.8,134.129,64
1723111868,722017,86.5,0.210,756,250.15,64
1723111873,727339,86.4,0.352,1267.2,429.025,64
1723111879,732646,84.4,0.469,1688.4,428.039,64
1723111884,737943,84.6,0.587,2113.2,430.129,64
1723111889,743243,84.7,0.729,2624.4,429.557,64
1723111895,748542,84.6,0.847,3049.2,428.971,64
1723111900,753882,84.5,0.966,3477.6,428.172,64
1723111905,759203,84.9,1.107,3985.2,429.117,64
1723111911,764512,85.2,1.226,4413.6,430.116,64
1723111916,769817,86.5,1.344,4838.4,429.357,64
1723111921,775140,84.5,1.462,5263.2,428.185,64
1723111927,780457,84.7,1.603,5770.8,428.465,64
1723111932,785755,84.7,1.722,6199.2,424.389,64
1723111937,791068,84.7,1.840,6624,424.415,64
1723111943,796368,84.3,1.982,7135.2,425.495,64
1723111948,801673,84.6,2.100,7560,427.506,64
1723111953,806986,85.1,2.218,7984.8,428.438,64
1723111958,812290,85.1,2.360,8496,429.476,64
1723111964,817589,86.2,2.478,8920.8,428.744,64
1723111969,822888,84.5,2.595,9342,428.385,64
1723111974,828187,84.7,2.737,9853.2,428.691,64
1723111980,833496,84.6,2.855,10278,428.185,64
1723111985,838801,84.5,2.974,10706.4,428.358,64
1723111990,844109,84.3,3.092,11131.2,429.73,64
1723111996,849418,84.7,3.234,11642.4,430.875,64
1723112001,854730,85.0,3.351,12063.6,428.691,64
1723112006,860056,86.3,3.470,12492,429.649,64
1723112012,865366,86.4,3.611,12999.6,426.174,64
1723112017,870679,84.6,3.729,13424.4,424.216,64
1723112022,875983,84.6,3.847,13849.2,425.215,64
1723112027,881283,84.5,3.989,14360.4,424.336,64
1723112033,886580,84.4,4.106,14781.6,426.44,64
1723112038,891893,84.5,4.224,15206.4,427.532,64
1723112043,897193,85.1,4.366,15717.6,428.531,64
1723112049,902500,84.7,4.484,16142.4,429.544,64
1723112054,907801,86.2,4.602,16567.2,431.061,64
1723112059,913109,84.5,4.720,16992,428.572,64
1723112065,918416,84.5,4.861,17499.6,428.731,64
1723112070,923713,84.3,4.979,17924.4,430.516,64
1723112075,929019,84.2,5.097,18349.2,425.88,64
1723112080,934324,84.5,5.238,18856.8,432.713,64
1723112086,939629,84.4,5.357,19285.2,429.69,64
1723112091,944926,85.0,5.475,19710,428.731,64
1723112096,950241,86.1,5.616,20217.6,430.435,64
1723112102,955552,86.3,5.734,20642.4,429.304,64
1723112107,960862,84.4,5.851,21063.6,427.825,64
1723112112,966174,84.5,5.993,21574.8,425.721,64
1723112118,971473,84.4,6.110,21996,423.39,64
1723112123,976779,84.5,6.228,22420.8,424.123,64
1723112128,982089,84.5,6.346,22845.6,424.696,64
1723112134,987410,84.2,6.488,23356.8,426.72,64
1723112139,992711,84.9,6.606,23781.6,428.372,64
1723112144,998010,86.4,6.723,24202.8,426.4,64
1723112149,1003324,86.3,6.865,24714,429.49,64
1723112155,1008628,84.3,6.982,25135.2,427.972,64
1723112160,1013926,84.2,7.100,25560,428.585,64
1723112165,1019248,84.5,7.241,26067.6,428.717,64
1723112171,1024567,84.5,7.360,26496,430.662,64
1723112176,1029868,84.4,7.478,26920.8,428.771,64
1723112181,1035167,84.8,7.595,27342,429.649,64
1723112187,1040467,85.0,7.737,27853.2,428.345,64
1723112192,1045782,86.3,7.855,28278,427.027,64
1723112197,1051110,84.6,7.972,28699.2,425.681,64
1723112203,1056410,84.4,8.114,29210.4,423.697,64
1723112208,1061719,84.5,8.232,29635.2,416.905,64
1723112213,1067050,83.1,0.069,248.4,144.883,64
1723112218,1072350,84.6,0.209,752.4,213.12,64
1723112224,1077656,86.6,0.330,1188,826.778,64
1723112229,1082964,87.3,0.451,1623.6,827.482,64
1723112234,1088295,88.5,0.597,2149.2,830.822,64
1723112240,1093592,88.3,0.718,2584.8,829.222,64
1723112245,1098939,86.7,0.838,3016.8,829.325,64
1723112250,1104237,86.9,0.984,3542.4,830.464,64
1723112256,1109536,86.9,1.105,3978,828.762,64
1723112261,1114854,86.6,1.227,4417.2,829.171,64
1723112266,1120155,86.8,1.348,4852.8,828.979,64
1723112272,1125465,87.0,1.494,5378.4,827.955,64
1723112277,1130763,87.7,1.615,5814,828.998,64
1723112282,1136062,88.6,1.737,6253.2,828.928,64
1723112288,1141435,88.7,1.883,6778.8,821.21,64
1723112293,1146738,87.1,2.004,7214.4,829.798,64
1723112298,1152044,86.9,2.125,7650,830.195,64
1723112303,1157346,87.1,2.271,8175.6,829.677,64
1723112309,1162676,87.1,2.392,8611.2,826.784,64
1723112314,1168033,87.1,2.514,9050.4,827.974,64
1723112320,1173397,87.0,2.660,9576,828,64
1723112325,1178701,87.8,2.781,10011.6,822.982,64
1723112330,1184003,88.9,2.903,10450.8,821.888,64
1723112336,1189474,88.6,3.049,10976.4,823.629,64
1723112341,1194771,87.2,3.170,11412,824.173,64
1723112346,1200070,87.2,3.292,11851.2,824.902,64
1723112352,1205364,86.9,3.437,12373.2,827.226,64
1723112357,1210661,86.9,3.559,12812.4,821.158,64
1723112362,1215966,87.2,3.681,13251.6,827.181,64
1723112367,1221272,87.8,3.827,13777.2,828.858,64
1723112373,1226585,87.7,3.949,14216.4,827.904,64
1723112378,1231888,88.8,4.071,14655.6,829.798,64
1723112383,1237186,87.3,4.217,15181.2,828.973,64
1723112389,1242492,87.3,4.338,15616.8,829.146,64
1723112394,1247832,87.2,4.460,16056,827.578,64
1723112399,1253136,87.1,4.582,16495.2,828.602,64
1723112405,1258438,87.3,4.728,17020.8,829.293,64
1723112410,1263768,87.2,4.850,17460,829.05,64
1723112415,1269075,87.8,4.972,17899.2,828.006,64
1723112421,1274391,87.9,5.118,18424.8,826.253,64
1723112426,1279707,88.9,5.240,18864,819.578,64
1723112431,1285015,87.1,5.361,19299.6,823.949,64
1723112436,1290329,86.9,5.507,19825.2,822.31,64
1723112442,1295638,87.0,5.628,20260.8,825.075,64
1723112447,1300946,87.2,5.750,20700,826.701,64
1723112452,1306249,87.2,5.896,21225.6,826.733,64
1723112458,1311555,86.9,6.018,21664.8,830.074,64
1723112463,1316865,87.7,6.140,22104,829.376,64
1723112468,1322159,88.9,6.261,22539.6,826.854,64
1723112474,1327464,89.1,6.407,23065.2,828.698,64
1723112479,1332770,87.1,6.529,23504.4,829.894,64
1723112484,1338069,87.0,6.650,23940,827.648,64
1723112490,1343373,87.2,6.796,24465.6,829.542,64
1723112495,1348671,87.2,6.918,24904.8,823.725,64
1723112500,1353974,87.2,7.039,25340.4,829.101,64
1723112505,1359284,87.2,7.185,25866,828.826,64
1723112511,1364594,87.8,7.307,26305.2,826.874,64
1723112516,1369897,88.9,7.429,26744.4,824.378,64
1723112521,1375232,87.2,7.575,27270,824.026,64
1723112527,1380540,87.0,7.696,27705.6,825.523,64
1723112532,1385844,87.2,7.817,28141.2,828.998,64
1723112537,1391145,87.0,7.939,28580.4,827.526,64
1723112543,1396450,86.9,8.085,29106,828.755,64
1723112548,1401753,86.7,8.207,29545.2,827.725,64
1723112553,1407067,87.7,8.328,29980.8,829.824,64
1723112559,1412394,87.6,8.474,30506.4,829.421,64
1723112564,1417700,85.4,0.024,86.4,394.154,64
1723112569,1423010,83.6,0.140,504,131.837,64
1723112575,1428446,91.3,0.286,1029.6,1153.75,64
1723112580,1433854,91.4,0.414,1490.4,1629.89,64
1723112585,1439295,91.1,0.567,2041.2,1634.48,64
1723112591,1444719,91.3,0.695,2502,1637.04,64
1723112596,1450056,91.2,0.823,2962.8,1633.15,64
1723112602,1455435,91.3,0.976,3513.6,1633.59,64
1723112607,1460840,92.1,1.103,3970.8,1628.74,64
1723112612,1466263,93.3,1.257,4525.2,1629.08,64
1723112618,1471693,93.4,1.384,4982.4,1626.94,64
1723112623,1477079,91.4,1.511,5439.6,1633.48,64
1723112629,1482445,91.5,1.664,5990.4,1634.94,64
1723112634,1487861,91.2,1.792,6451.2,1636.77,64
1723112639,1493252,91.5,1.945,7002,1629.2,64
1723112645,1498666,91.4,2.073,7462.8,1602.25,64
1723112650,1504115,91.6,2.201,7923.6,1627.83,64
1723112656,1509545,91.6,2.354,8474.4,1629.74,64
1723112661,1514971,92.0,2.482,8935.2,1636.68,64
1723112667,1520403,93.4,2.636,9489.6,1635.89,64
1723112672,1525826,93.1,2.763,9946.8,1634.89,64
1723112677,1531259,91.7,2.917,10501.2,1628.28,64
1723112683,1536684,91.5,3.044,10958.4,1626.73,64
1723112688,1542116,91.3,3.171,11415.6,1631.04,64
1723112694,1547536,91.6,3.325,11970,1639.58,64
1723112699,1552935,91.2,3.452,12427.2,1636.83,64
1723112705,1558375,91.4,3.605,12978,1631.8,64
1723112710,1563712,91.3,3.733,13438.8,1628.29,64
1723112715,1569097,92.2,3.860,13896,1595.1,64
1723112721,1574516,92.1,4.014,14450.4,1627.14,64
1723112726,1579928,93.1,4.141,14907.6,1635.43,64
1723112732,1585357,91.5,4.294,15458.4,1634.73,64
1723112737,1590781,91.2,4.422,15919.2,1637.04,64
1723112742,1596199,91.5,4.550,16380,1630.29,64
1723112748,1601604,91.6,4.702,16927.2,1627.24,64
1723112753,1606961,91.5,4.830,17388,1629.14,64
1723112759,1612375,91.1,4.983,17938.8,1631.19,64
1723112764,1617795,91.5,5.111,18399.6,1636.29,64
1723112769,1623191,92.1,5.239,18860.4,1634.9,64
1723112775,1628514,91.9,5.392,19411.2,1634.55,64
1723112780,1633910,93.1,5.519,19868.4,1615.85,64
1723112785,1639326,91.1,5.672,20419.2,1614.75,64
1723112791,1644742,91.5,5.799,20876.4,1631.31,64
1723112796,1650161,91.2,5.927,21337.2,1634.85,64
1723112802,1655596,91.3,6.080,21888,1638.29,64
1723112807,1661003,91.5,6.208,22348.8,1631.88,64
1723112813,1666410,91.1,6.361,22899.6,1626.78,64
1723112818,1671826,91.6,6.489,23360.4,1629.59,64
1723112823,1677240,91.8,6.642,23911.2,1634.19,64
1723112829,1682650,92.1,6.770,24372,1637.93,64
1723112834,1688073,93.2,6.897,24829.2,1635.34,64
1723112840,1693518,92.9,7.051,25383.6,1631.24,64
1723112845,1698910,91.6,7.178,25840.8,1626.54,64
1723112850,1704339,91.1,7.331,26391.6,1614,64
1723112856,1709765,91.5,7.459,26852.4,1619.04,64
1723112861,1715191,91.4,7.587,27313.2,1637.59,64
1723112867,1720603,91.3,7.740,27864,1635.89,64
1723112872,1725979,91.5,7.867,28321.2,1629.84,64
1723112878,1731409,91.2,8.020,28872,1624.49,64
1723112883,1736829,92.3,8.148,29332.8,1627.24,64
1723112888,1742249,92.8,8.301,29883.6,1633.34,64
1723112894,1747637,93.1,8.429,30344.4,1636.44,64
1723112899,1753072,91.5,8.556,30801.6,1635.8,64
1723112905,1758492,91.1,8.709,31352.4,1627.6,64
1723112910,1763863,91.4,8.837,31813.2,1625.69,64
1723112915,1769309,91.2,8.990,32364,1629.24,64
1723112921,1774612,88.0,9.115,32814,1273.96,64
1723112926,1779929,84.4,9.236,33249.6,526.09,64
1723112931,1785251,83.9,0.094,338.4,137.383,64
1723112937,1790595,84.1,0.210,756,152.8,64
1723112942,1796111,100.8,0.346,1245.6,3237.86,64
1723112948,1801593,101.0,0.513,1846.8,3231.44,64
1723112953,1807086,99.8,0.652,2347.2,3229.13,64
1723112959,1812579,100.0,0.819,2948.4,3239.33,64
1723112964,1818099,100.0,0.959,3452.4,3234.23,64
1723112970,1823592,100.1,1.126,4053.6,3232.22,64
1723112975,1829109,99.6,1.265,4554,3237.53,64
1723112981,1834635,99.8,1.434,5162.4,3236.73,64
1723112986,1840102,100.2,1.573,5662.8,3230.32,64
1723112992,1845602,100.3,1.740,6264,3234.82,64
1723112997,1851112,100.8,1.880,6768,3239.13,64
1723113003,1856614,100.8,2.048,7372.8,3230.62,64
1723113008,1862100,101.8,2.187,7873.2,3230.43,64
1723113014,1867540,99.8,2.354,8474.4,3100.34,64
1723113019,1873025,100.3,2.494,8978.4,3208.9,64
1723113025,1878484,100.5,2.661,9579.6,3232.53,64
1723113030,1883929,100.0,2.802,10087.2,3239.24,64
1723113036,1889391,100.4,2.970,10692,3229.43,64
1723113041,1894860,100.7,3.110,11196,3233.93,64
1723113046,1900329,100.3,3.278,11800.8,3239.74,64
1723113052,1905854,100.4,3.418,12304.8,3232.93,64
1723113057,1911341,100.9,3.586,12909.6,3229.72,64
1723113063,1916816,101.0,3.726,13413.6,3239.64,64
1723113068,1922326,102.2,3.895,14022,3232.82,64
1723113074,1927827,102.2,4.034,14522.4,3231.02,64
1723113079,1933319,100.3,4.202,15127.2,3239.84,64
1723113085,1938828,100.4,4.342,15631.2,3233.02,64
1723113090,1944316,99.0,4.509,16232.4,3108.37,64
1723113096,1949801,100.2,4.650,16740,3233.11,64
1723113101,1955295,100.5,4.818,17344.8,3233.03,64
1723113107,1960776,100.5,4.958,17848.8,3229.93,64
1723113112,1966292,100.2,5.126,18453.6,3239.14,64
1723113118,1971773,100.1,5.266,18957.6,3236.02,64
1723113123,1977288,101.3,5.434,19562.4,3230.42,64
1723113129,1982805,101.3,5.574,20066.4,3235.42,64
1723113134,1988301,102.2,5.743,20674.8,3238.73,64
1723113140,1993822,102.3,5.882,21175.2,3229.32,64
1723113145,1999338,100.1,6.051,21783.6,3233.93,64
1723113151,2004830,100.1,6.191,22287.6,3242.48,64
1723113156,2010276,100.6,6.359,22892.4,3230.33,64
1723113162,2015768,100.5,6.499,23396.4,3222.12,64
1723113167,2021254,99.4,6.666,23997.6,3099.46,64
1723113173,2026792,100.3,6.806,24501.6,3216.13,64
1723113178,2032285,100.3,6.974,25106.4,3228.92,64
1723113184,2037792,100.4,7.115,25614,3238.83,64
1723113189,2043280,101.5,7.283,26218.8,3234.73,64
1723113195,2048785,101.4,7.423,26722.8,3232.12,64
1723113200,2054315,101.9,7.592,27331.2,3236.83,64
1723113206,2059809,101.8,7.732,27835.2,3237.93,64
1723113211,2065330,100.5,7.900,28440,3229.02,64
1723113217,2070816,100.4,8.040,28944,3234.82,64
1723113222,2076310,100.4,8.208,29548.8,3239.33,64
1723113228,2081805,100.5,8.348,30052.8,3231.32,64
1723113233,2087296,100.0,8.516,30657.6,3232.72,64
1723113239,2092732,99.8,8.656,31161.6,3225.12,64
1723113244,2098218,100.0,8.795,31662,3116.03,64
1723113250,2103691,100.4,8.963,32266.8,3212.4,64
1723113255,2109185,101.2,9.103,32770.8,3239.94,64
1723113261,2114708,101.1,9.271,33375.6,3229.22,64
1723113266,2120162,101.7,9.411,33879.6,3232.62,64
1723113272,2125636,101.9,9.579,34484.4,3239.44,64
1723113277,2131136,100.4,9.719,34988.4,3231.82,64
1723113283,2136639,100.4,9.887,35593.2,3234.72,64
1723113288,2142136,100.1,10.026,36093.6,3242.74,64
1723113294,2147680,100.0,10.195,36702,3231.12,64
1723113299,2153175,100.4,10.335,37206,3230.22,64
1723113305,2158670,100.3,10.502,37807.2,3236.61,64
1723113310,2164147,100.1,10.643,38314.8,3216.81,64
1723113316,2169530,97.2,10.808,38908.8,2910.4,64
1723113321,2174842,87.0,10.935,39366,1197.23,64
1723113326,2180198,85.1,0.047,169.2,167.722,64
1723113332,2185511,85.4,0.187,673.2,143.062,64
1723113337,2191112,114.4,0.320,1152,3109.65,64
1723113343,2196971,116.6,0.514,1850.4,6320.58,64
1723113349,2202868,117.1,0.710,2556,6392.21,64
1723113355,2208949,117.4,0.907,3265.2,6398.61,64
1723113361,2214988,117.4,1.103,3970.8,6385.45,64
1723113367,2221157,117.8,1.300,4680,6382.26,64
1723113373,2227218,118.0,1.497,5389.2,6400,64
1723113379,2233149,118.0,1.694,6098.4,6383.09,64
1723113386,2239307,118.0,1.891,6807.6,6350.96,64
1723113392,2245389,117.5,2.088,7516.8,6311.41,64
1723113398,2251367,117.6,2.318,8344.8,6313.38,64
1723113404,2257259,117.9,2.482,8935.2,6326.83,64
1723113409,2262970,117.8,2.679,9644.4,6319.28,64
1723113415,2268733,112.9,2.871,10335.6,5604.27,64
1723113421,2274417,118.2,3.067,11041.2,6296.51,64
1723113427,2280319,118.3,3.232,11635.2,6376.99,64
1723113433,2286408,118.4,3.430,12348,6374.14,64
1723113439,2292491,118.5,3.661,13179.6,6400,64
1723113444,2298289,118.4,3.826,13773.6,6362.38,64
1723113450,2304128,118.5,4.024,14486.4,6396.8,64
1723113457,2310277,118.0,4.222,15199.2,6292.71,64
1723113463,2316380,118.5,4.420,15912,6333.15,64
1723113469,2322494,118.7,4.618,16624.8,6400,64
1723113474,2328215,118.8,4.816,17337.6,6312.56,64
1723113480,2333859,118.9,5.015,18054,6333.49,64
1723113486,2339595,118.3,5.214,18770.4,6312.49,64
1723113492,2345414,115.9,5.378,19360.8,5992.39,64
1723113498,2351399,119.3,5.575,20070,6147.87,64
