DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723113735,254,87.3,0.000,0,442.046,64
1723113736,1563,86.5,0.024,86.4,106.105,64
1723113737,2875,84.9,0.072,259.2,100.202,64
1723113739,4173,85.0,0.095,342,101.147,64
1723113740,5480,86.4,0.119,428.4,100.186,64
1723113741,6792,86.1,0.167,601.2,111.028,64
1723113743,8101,84.9,0.190,684,100.124,64
1723113744,9407,84.9,0.214,770.4,101.1,64
1723113745,10720,84.8,0.261,939.6,102.138,64
1723113747,12023,86.1,0.285,1026,117.085,64
1723113748,13321,84.7,0.309,1112.4,102.17,64
1723113749,14618,84.7,0.332,1195.2,100.17,64
1723113751,15930,84.5,0.379,1364.4,102.138,64
1723113752,17241,86.4,0.403,1450.8,127.008,64
1723113753,18541,85.5,0.427,1537.2,101.131,64
1723113754,19838,84.3,0.474,1706.4,99.225,64
1723113756,21140,84.5,0.497,1789.2,101.178,64
1723113757,22438,84.8,0.521,1875.6,139.929,64
1723113758,23739,85.9,0.568,2044.8,101.147,64
1723113760,25040,84.4,0.592,2131.2,101.162,64
1723113761,26358,84.4,0.615,2214,112.107,64
1723113762,27660,84.6,0.639,2300.4,137.837,64
1723113764,28957,85.7,0.686,2469.6,99.225,64
1723113765,30267,83.6,0.709,2552.4,102.138,64
1723113766,31706,84.4,0.756,2721.6,103.13,64
1723113768,33019,84.5,0.779,2804.4,141.848,64
1723113769,34320,84.3,0.803,2890.8,101.162,64
1723113770,35621,85.6,0.826,2973.6,98.2323,64
1723113772,36923,84.0,0.873,3142.8,101.964,64
1723113773,38218,84.5,0.897,3229.2,134.988,64
1723113774,39522,84.2,0.920,3312,102.154,64
1723113775,40825,85.3,0.967,3481.2,101.162,64
1723113777,42121,85.1,0.991,3567.6,101.194,64
1723113778,43430,84.3,1.015,3654,141.782,64
1723113779,44747,84.4,1.061,3819.6,103.146,64
1723113781,46046,84.1,1.084,3902.4,102.138,64
1723113782,47349,85.5,1.108,3988.8,101.131,64
