DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723113735,268,87.3,0.000,0,442.047,64
1723113740,5591,86.4,0.119,428.4,124.656,64
1723113745,10895,86.0,0.261,939.6,126.637,64
1723113751,16215,84.5,0.379,1364.4,129.997,64
1723113756,21522,84.5,0.497,1789.2,128.272,64
1723113761,26823,84.4,0.639,2300.4,133.233,64
1723113767,32140,84.1,0.756,2721.6,129.235,64
1723113772,37445,84.0,0.873,3142.8,128.26,64
1723113777,42742,85.1,0.991,3567.6,130.229,64
1723113783,48041,85.1,1.132,4075.2,130.441,64
1723113788,53336,85.3,1.249,4496.4,130.05,64
1723113793,58638,83.6,1.366,4917.6,128.472,64
1723113799,63959,84.1,1.507,5425.2,130.237,64
1723113804,69266,83.9,1.624,5846.4,130.417,64
1723113809,74565,83.9,1.740,6264,129.846,64
1723113814,79880,83.9,1.881,6771.6,131.212,64
1723113820,85175,83.9,1.998,7192.8,128.835,64
1723113825,90474,84.8,2.116,7617.6,126.219,64
1723113830,95786,85.2,2.256,8121.6,126.011,64
1723113836,101098,85.1,2.372,8539.2,124.444,64
1723113841,106413,83.8,2.489,8960.4,127.053,64
1723113846,111720,83.9,2.629,9464.4,129.446,64
1723113852,117021,83.5,2.746,9885.6,130.641,64
1723113857,122334,83.4,2.863,10306.8,128.847,64
1723113862,127630,83.6,2.980,10728,130.82,64
1723113867,132933,83.5,3.120,11232,129.235,64
1723113873,138241,84.6,3.237,11653.2,130.816,64
1723113878,143542,84.8,3.353,12070.8,129.83,64
1723113883,148845,83.2,3.493,12574.8,130.616,64
1723113889,154145,83.5,3.610,12996,129.035,64
1723113894,159446,83.6,3.726,13413.6,128.236,64
1723113899,164744,83.5,3.866,13917.6,125.639,64
1723113905,170065,83.5,3.982,14335.2,125.443,64
1723113910,175373,83.5,4.099,14756.4,126.813,64
1723113915,180676,84.5,4.216,15177.6,127.449,64
1723113921,185975,84.3,4.356,15681.6,129.65,64
1723113926,191275,84.6,4.472,16099.2,129.834,64
