DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723118685,252,85.7,0.000,0,488.69,64
1723118686,1553,83.5,0.023,82.8,100.14,64
1723118687,2874,83.5,0.069,248.4,165.757,64
1723118689,4183,83.0,0.092,331.2,103.082,64
1723118690,5490,83.0,0.116,417.6,100.17,64
1723118691,6804,84.7,0.162,583.2,103.066,64
1723118693,8117,83.8,0.186,669.6,173.832,64
1723118694,9423,82.9,0.208,748.8,102.107,64
1723118695,10732,82.8,0.255,918,101.147,64
1723118697,12041,84.6,0.278,1000.8,100.17,64
1723118698,13350,83.3,0.302,1087.2,172.705,64
1723118699,14649,83.0,0.324,1166.4,102.154,64
1723118700,15959,82.7,0.370,1332,103.178,64
1723118702,17257,83.0,0.393,1414.8,103.082,64
1723118703,18557,84.6,0.417,1501.2,176.675,64
1723118704,19870,82.5,0.462,1663.2,101.1,64
1723118706,21176,82.6,0.486,1749.6,100.155,64
1723118707,22477,82.7,0.509,1832.4,100.975,64
1723118708,23785,82.8,0.555,1998,173.563,64
1723118710,25086,83.1,0.578,2080.8,101.162,64
1723118711,26387,82.6,0.601,2163.6,104.025,64
1723118712,27695,82.7,0.624,2246.4,100.14,64
1723118714,28990,83.3,0.670,2412,168.761,64
1723118715,30296,84.9,0.694,2498.4,100.155,64
1723118716,31605,82.9,0.717,2581.2,102.122,64
1723118717,32915,82.4,0.763,2746.8,101.147,64
1723118719,34227,82.8,0.786,2829.6,160.669,64
1723118720,35526,83.5,0.809,2912.4,101.162,64
1723118721,36827,82.6,0.855,3078,102.154,64
1723118723,38140,82.7,0.878,3160.8,101.162,64
1723118724,39454,82.7,0.901,3243.6,153.798,64
1723118725,40760,83.3,0.947,3409.2,101.147,64
1723118727,42094,84.5,0.971,3495.6,102.122,64
1723118728,43412,83.2,0.994,3578.4,103.194,64
1723118729,44719,82.7,1.017,3661.2,142.928,64
1723118731,46019,82.8,1.063,3826.8,102.059,64
1723118732,47330,82.9,1.086,3909.6,103.13,64
1723118733,48636,84.9,1.110,3996,111.252,64
1723118734,49941,83.1,1.156,4161.6,144.077,64
1723118736,51241,83.5,1.179,4244.4,112.263,64
1723118737,52546,82.8,1.202,4327.2,99.1942,64
1723118738,53849,84.1,1.248,4492.8,101.147,64
1723118740,55145,82.8,1.271,4575.6,135.833,64
1723118741,56446,83.2,1.294,4658.4,114.126,64
1723118742,57753,82.5,1.340,4824,102.107,64
1723118744,59069,82.7,1.363,4906.8,104.122,64
1723118745,60381,84.5,1.386,4989.6,121.036,64
1723118746,61691,83.5,1.410,5076,123.992,64
1723118748,62993,82.4,1.455,5238,99.2096,64
1723118749,64291,82.5,1.478,5320.8,100.17,64
1723118750,65592,82.6,1.501,5403.6,114.056,64
1723118751,66905,83.2,1.548,5572.8,132.982,64
1723118753,68213,82.8,1.571,5655.6,102.122,64
1723118754,69522,82.8,1.594,5738.4,103.146,64
1723118755,70838,82.7,1.640,5904,105.097,64
1723118757,72142,85.7,1.664,5990.4,210.179,64
1723118758,73447,83.5,1.687,6073.2,99.1789,64
1723118759,74749,82.9,1.733,6238.8,116.057,64
1723118761,76050,82.8,1.756,6321.6,102.138,64
1723118762,77364,83.8,1.779,6404.4,146.739,64
1723118763,78667,84.7,1.803,6490.8,102.075,64
1723118765,79973,82.6,1.849,6656.4,103.194,64
1723118766,81290,86.1,1.873,6742.8,795.782,64
1723118767,82589,87.7,1.897,6829.2,847.584,64
