DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS
1723117015,259,85.1,0.000,0,493.996,64
1723117020,5556,84.9,0.118,424.8,130.873,64
1723117025,10859,84.5,0.237,853.2,134.253,64
1723117031,16154,84.6,0.378,1360.8,134.508,64
1723117036,21457,84.7,0.496,1785.6,136.043,64
1723117041,26758,86.1,0.613,2206.8,137.641,64
1723117046,32057,86.1,0.755,2718,138.427,64
1723117052,37368,84.8,0.872,3139.2,137.424,64
1723117057,42696,84.2,0.989,3560.4,139.852,64
1723117062,47998,84.6,1.130,4068,137.48,64
1723117068,53312,84.2,1.248,4492.8,141.018,64
1723117073,58614,83.9,1.365,4914,137.823,64
1723117078,63919,83.7,1.506,5421.6,138.622,64
1723117084,69226,84.5,1.623,5842.8,136.854,64
1723117089,74525,86.2,1.741,6267.6,138.627,64
1723117094,79833,84.6,1.858,6688.8,138.414,64
1723117100,85180,84.9,1.999,7196.4,137.046,64
1723117105,90489,84.3,2.116,7617.6,134.411,64
1723117110,95784,84.2,2.233,8038.8,132.622,64
1723117115,101085,84.1,2.374,8546.4,133.034,64
1723117121,106387,84.4,2.491,8967.6,131.848,64
1723117126,111690,84.5,2.609,9392.4,137.611,64
1723117131,116990,84.3,2.750,9900,136.221,64
1723117137,122299,84.2,2.867,10321.2,136.859,64
1723117142,127604,84.9,2.984,10742.4,136.65,64
1723117147,132912,84.1,3.124,11246.4,136.659,64
1723117153,138214,84.2,3.241,11667.6,137.233,64
1723117158,143535,84.0,3.359,12092.4,138.631,64
1723117163,148837,83.8,3.476,12513.6,136.642,64
1723117169,154137,84.2,3.616,13017.6,136.65,64
1723117174,159440,84.2,3.734,13442.4,136.047,64
1723117179,164744,85.5,3.851,13863.6,137.828,64
1723117184,170044,85.9,3.991,14367.6,135.852,64
1723117190,175356,84.7,4.108,14788.8,138.787,64
1723117195,180667,83.9,4.225,15210,133.841,64
1723117200,185991,83.5,4.365,15714,132.438,64
1723117206,191300,83.5,4.481,16131.6,131.631,64
1723117211,196615,83.7,4.597,16549.2,133.475,64
1723117216,201919,83.4,4.737,17053.2,137.402,64
1723117222,207231,83.3,4.853,17470.8,135.864,64
1723117227,212537,85.1,4.969,17888.4,134.478,64
1723117232,217845,84.0,5.085,18306,136.851,64
1723117238,223163,84.2,5.225,18810,136.838,64
1723117243,228470,83.5,5.341,19227.6,137.424,64
1723117248,233780,83.1,5.457,19645.2,137.432,64
1723117253,239080,83.6,5.596,20145.6,136.047,64
1723117259,244390,83.5,5.713,20566.8,137.645,64
1723117264,249694,83.5,5.829,20984.4,136.225,64
1723117269,255004,83.4,5.968,21484.8,133.059,64
1723117275,260305,85.3,6.084,21902.4,133.412,64
1723117280,265602,84.1,6.200,22320,132.056,64
1723117285,270900,83.3,6.339,22820.4,133.038,64
1723117291,276196,83.3,6.455,23238,136.234,64
1723117296,281506,83.4,6.571,23655.6,136.816,64
1723117301,286803,83.3,6.687,24073.2,136.672,64
1723117307,292102,83.4,6.827,24577.2,137.05,64
1723117312,297412,83.2,6.943,24994.8,137.624,64
1723117317,302719,85.1,7.059,25412.4,139.626,64
1723117322,308023,85.2,7.198,25912.8,137.641,64
1723117328,313344,83.9,7.314,26330.4,139.204,64
1723117333,318666,83.2,7.430,26748,137.245,64
1723117338,324004,83.3,7.569,27248.4,136.629,64
1723117344,329312,83.4,7.685,27666,137.041,64
1723117349,334613,83.4,7.801,28083.6,135.039,64
1723117354,339918,83.1,7.940,28584,134.81,64
1723117360,345224,83.3,8.056,29001.6,131.836,64
1723117365,350533,85.0,8.172,29419.2,132.834,64
1723117370,355835,83.8,8.288,29836.8,132.659,64
1723117376,361145,83.6,8.427,30337.2,136.212,64
1723117381,366449,83.2,8.542,30751.2,136.646,64
1723117386,371752,83.3,8.658,31168.8,136.472,64
1723117391,377055,83.4,8.798,31672.8,137.059,64
1723117397,382357,83.1,8.913,32086.8,137.237,64
1723117402,387655,83.1,9.029,32504.4,137.445,64
1723117407,392957,84.8,9.169,33008.4,136.825,64
1723117413,398264,85.0,9.284,33422.4,137.428,64
1723117418,403561,83.8,9.400,33840,136.637,64
1723117423,408863,82.7,9.515,34254,137.254,64
1723117429,414171,83.2,9.655,34758,137.028,64
1723117434,419478,83.3,9.770,35172,133.283,64
1723117439,424794,83.1,9.886,35589.6,132.438,64
1723117445,430096,83.0,10.025,36090,131.611,64
1723117450,435397,83.2,10.141,36507.6,132.651,64
1723117455,440701,85.0,10.257,36925.2,135.821,64
1723117460,446008,84.9,10.396,37425.6,136.438,64
1723117466,451307,83.4,10.511,37839.6,139.812,64
1723117471,456615,83.2,10.626,38253.6,137.025,64
1723117476,461920,82.9,10.765,38754,137.228,64
1723117482,467224,83.2,10.881,39171.6,136.255,64
1723117487,472523,82.9,10.997,39589.2,135.868,64
1723117492,477821,83.0,11.113,40006.8,137.037,64
1723117498,483117,83.3,11.252,40507.2,138.41,64
1723117503,488426,85.1,11.368,40924.8,136.06,64
1723117508,493733,83.7,11.483,41338.8,137.242,64
1723117513,499039,83.8,11.622,41839.2,139,64
1723117519,504355,83.3,11.738,42256.8,135.435,64
1723117524,509661,83.3,11.853,42670.8,134.028,64
1723117529,514965,82.9,11.992,43171.2,131.648,64
1723117535,520265,83.2,12.108,43588.8,131.452,64
1723117540,525565,83.3,12.224,44006.4,133.059,64
1723117545,530879,84.8,12.363,44506.8,133.858,64
1723117551,536173,84.8,12.479,44924.4,137.025,64
1723117556,541488,83.6,12.594,45338.4,139.026,64
1723117561,546797,83.1,12.710,45756,138.019,64
1723117567,552108,83.2,12.849,46256.4,137.624,64
1723117572,557413,83.0,12.965,46674,139.786,64
1723117577,562707,83.3,13.081,47091.6,137.823,64
1723117582,568010,83.3,13.220,47592,137.836,64
1723117588,573307,83.5,0.023,82.8,138.062,64
1723117593,578609,84.8,0.139,500.4,136.65,64
1723117598,583920,83.5,0.278,1000.8,139.03,64
1723117604,589227,83.8,0.393,1414.8,138.053,64
1723117609,594544,83.1,0.509,1832.4,141.21,64
1723117614,599843,82.6,0.625,2250,138.197,64
1723117620,605161,83.7,0.765,2754,137.823,64
1723117625,610477,83.8,0.881,3171.6,136.561,64
1723117630,615777,83.8,0.998,3592.8,138.431,64
1723117635,621093,84.3,1.138,4096.8,135.336,64
1723117641,626395,85.4,1.255,4518,134.733,64
1723117646,631702,83.8,1.370,4932,132.618,64
1723117651,637013,83.7,1.510,5436,133.458,64
1723117657,642318,83.7,1.627,5857.2,136.82,64
1723117662,647623,83.8,1.743,6274.8,140.412,64
1723117667,652926,84.2,1.884,6782.4,194.611,64
1723117673,658234,84.5,2.001,7203.6,236.771,64
1723117678,663540,84.3,2.119,7628.4,236.172,64
1723117683,668850,86.0,2.260,8136,236.342,64
1723117689,674165,86.3,2.377,8557.2,236.519,64
1723117694,679465,85.0,2.495,8982,235.786,64
1723117699,684782,84.2,2.612,9403.2,237.917,64
1723117704,690080,84.5,2.753,9910.8,235.92,64
1723117710,695387,84.5,2.871,10335.6,237.525,64
1723117715,700697,84.5,2.988,10756.8,235.135,64
1723117720,706033,84.3,3.129,11264.4,232.774,64
1723117726,711347,84.5,3.247,11689.2,230.969,64
1723117731,716646,86.3,3.364,12110.4,231.368,64
1723117736,721948,84.5,3.506,12621.6,233.567,64
1723117742,727245,84.7,3.623,13042.8,238.479,64
1723117747,732551,84.3,3.740,13464,236.319,64
