DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723198101,267,82.1,0.023,82.8,813.338,64,1.81
1723198102,1596,82.6,0.046,165.6,59.4703,64,1.81
1723198104,2921,83.9,0.069,248.4,104.106,64,1.81
1723198105,4234,84.9,0.116,417.6,102.091,64,1.81
1723198106,5553,82.8,0.139,500.4,9.91482,64,1.82
1723198108,6873,83.1,0.162,583.2,96.3674,64,1.82
1723198109,8219,83.5,0.208,748.8,104.17,64,1.85
1723198110,9537,85.3,0.232,835.2,120.099,64,1.86
1723198112,10852,83.4,0.255,918,109.096,64,1.84
1723198113,12176,83.5,0.302,1087.2,101.084,64,1.86
1723198114,13507,83.5,0.325,1170,103.13,64,1.81
1723198116,14828,84.2,0.348,1252.8,102.17,64,1.85
1723198117,16178,85.2,0.372,1339.2,101.116,64,1.86
1723198118,17525,83.5,0.418,1504.8,131.99,64,1.87
1723198120,18862,83.6,0.441,1587.6,106.088,64,1.84
1723198121,20178,83.5,0.488,1756.8,128.892,64,1.85
1723198122,21515,85.1,0.512,1843.2,102.138,64,1.86
1723198124,22846,83.4,0.535,1926,110.037,64,1.83
1723198125,24165,83.6,0.558,2008.8,99.1942,64,1.85
1723198126,25477,83.3,0.605,2178,102.107,64,1.87
1723198128,26810,84.2,0.628,2260.8,122.407,64,1.81
1723198129,28141,85.3,0.652,2347.2,104.073,64,1.85
1723198130,29456,83.6,0.698,2512.8,118.151,64,1.85
1723198132,30796,83.4,0.721,2595.6,103.178,64,1.85
1723198133,32137,83.5,0.744,2678.4,106.105,64,1.76
1723198134,33537,85.1,0.791,2847.6,124.07,64,1.77
1723198136,34863,83.6,0.814,2930.4,104.041,64,1.72
1723198137,36180,83.5,0.861,3099.6,101.162,64,1.76
1723198138,37495,83.5,0.884,3182.4,118.261,64,1.76
1723198140,38820,84.1,0.907,3265.2,111.132,64,1.78
1723198141,40155,85.1,0.931,3351.6,108.038,64,1.74
1723198142,41534,83.2,0.977,3517.2,112.089,64,1.76
1723198144,42861,83.8,1.000,3600,117.121,64,1.77
1723198145,44184,83.6,1.023,3682.8,105.178,64,1.74
1723198146,45518,85.1,1.071,3855.6,115.101,64,1.76
1723198148,46891,83.5,1.094,3938.4,114.091,64,1.77
1723198149,48207,83.7,1.140,4104,107.163,64,1.74
1723198150,49537,82.8,1.163,4186.8,16.8552,64,1.72
1723198152,50852,83.7,1.187,4273.2,109.046,64,1.75
1723198153,52168,85.1,1.233,4438.8,101.116,64,1.76
1723198154,53522,83.1,1.256,4521.6,106.105,64,1.76
1723198156,54852,83.3,1.279,4604.4,102.091,64,1.76
1723198157,56165,83.2,1.302,4687.2,101.116,64,1.76
1723198158,57484,84.8,1.349,4856.4,101.131,64,1.76
1723198160,58799,83.1,1.372,4939.2,101.116,64,1.76
1723198161,60124,83.2,1.395,5022,107.837,64,1.76
1723198162,61449,83.0,1.442,5191.2,106.088,64,1.77
1723198164,62766,84.7,1.465,5274,206.26,64,1.78
1723198165,64102,85.5,1.489,5360.4,204.213,64,1.78
1723198166,65427,83.7,1.535,5526,191.296,64,1.78
1723198168,66756,83.3,1.559,5612.4,101.1,64,1.79
1723198169,68076,83.1,1.581,5691.6,101.068,64,1.78
1723198170,69392,84.4,1.628,5860.8,35.6767,64,1.71
1723198172,70720,82.9,1.651,5943.6,101.162,64,1.71
1723198173,72034,83.3,1.675,6030,106.056,64,1.71
1723198174,73349,82.9,1.720,6192,100.124,64,1.71
1723198176,74669,83.9,1.744,6278.4,104.106,64,1.71
1723198177,75996,85.1,1.767,6361.2,101.116,64,1.71
1723198178,77315,83.0,1.814,6530.4,101.116,64,1.71
1723198179,78647,83.2,1.837,6613.2,106.088,64,1.71
1723198181,79970,83.1,1.860,6696,99.2096,64,1.71
1723198182,81298,83.8,1.907,6865.2,107.03,64,1.71
1723198183,82634,83.3,1.930,6948,101.116,64,1.71
1723198185,83966,83.3,1.953,7030.8,104.138,64,1.71
1723198186,85278,82.8,1.999,7196.4,102.138,64,1.71
1723198187,86615,83.6,2.022,7279.2,101.131,64,1.71
1723198189,87928,84.9,2.046,7365.6,105.13,64,1.71
1723198190,89269,83.1,2.092,7531.2,101.116,64,1.71
1723198191,90581,83.2,2.115,7614,108.995,64,1.71
1723198193,91892,83.1,2.138,7696.8,101.116,64,1.71
1723198194,93204,83.6,2.185,7866,105.146,64,1.71
1723198195,94540,82.9,2.208,7948.8,101.1,64,1.71
1723198197,95872,83.1,2.231,8031.6,102.091,64,1.71
1723198198,97195,83.0,2.277,8197.2,102.138,64,1.71
1723198199,98522,83.4,2.300,8280,102.138,64,1.71
1723198201,99846,84.7,2.323,8362.8,107.063,64,1.71
1723198202,101170,83.1,2.370,8532,99.1942,64,1.71
1723198203,102500,82.9,2.392,8611.2,106.088,64,1.71
1723198205,103831,83.0,2.416,8697.6,101.131,64,1.71
1723198206,105161,83.6,2.439,8780.4,104.073,64,1.71
1723198207,106483,82.9,2.485,8946,101.116,64,1.71
1723198209,107811,83.0,2.509,9032.4,101.116,64,1.71
1723198210,109136,82.9,2.531,9111.6,110.994,64,1.71
1723198211,110457,83.6,2.578,9280.8,100.17,64,1.71
1723198213,111956,84.8,2.601,9363.6,105.13,64,1.71
1723198214,113278,83.2,2.647,9529.2,114.038,64,1.71
1723198215,114591,83.2,2.670,9612,106.105,64,1.71
1723198217,115911,83.3,2.694,9698.4,105.08,64,1.71
1723198218,117223,83.9,2.741,9867.6,101.162,64,1.71
1723198219,118538,83.1,2.763,9946.8,106.072,64,1.71
1723198221,119858,83.2,2.787,10033.2,101.1,64,1.71
1723198222,121173,83.2,2.833,10198.8,105.113,64,1.71
1723198223,122499,83.7,2.856,10281.6,101.1,64,1.71
1723198225,123816,84.7,2.880,10368,17.8438,64,1.71
1723198226,125140,82.8,2.902,10447.2,99.2557,64,1.75
1723198227,126466,83.2,2.949,10616.4,104.122,64,1.75
1723198229,127794,83.2,2.972,10699.2,99.1635,64,1.76
1723198230,129139,83.8,2.995,10782,102.122,64,1.76
1723198231,130452,82.9,3.042,10951.2,106.088,64,1.76
1723198233,131772,82.9,3.065,11034,101.084,64,1.71
1723198234,133087,82.8,3.087,11113.2,24.7832,64,1.71
1723198235,134419,83.6,3.134,11282.4,99.1635,64,1.71
1723198237,135744,84.8,3.157,11365.2,103.114,64,1.71
1723198238,137055,83.3,3.181,11451.6,102.075,64,1.71
1723198239,138387,82.9,3.226,11613.6,101.116,64,1.71
1723198241,139710,83.3,3.250,11700,104.154,64,1.71
