DATE,RUNTIME_ms,POWER_W,E_Wh,E_J,CPU_USAGE,N_THREADS,MEMUSED_GB
1723198999,267,84.8,0.000,0,809.402,64,1.73
1723199000,1656,83.5,0.046,165.6,110.14,64,1.75
1723199001,2980,83.5,0.069,248.4,114.038,64,1.76
1723199003,4296,83.4,0.093,334.8,99.1789,64,1.77
1723199004,5619,83.7,0.139,500.4,107.13,64,1.78
1723199005,6945,83.2,0.163,586.8,105.032,64,1.78
1723199007,8274,83.1,0.186,669.6,103.114,64,1.78
1723199008,9591,83.3,0.232,835.2,101.1,64,1.78
1723199009,10904,83.4,0.255,918,102.107,64,1.79
1723199011,12220,85.1,0.279,1004.4,139.864,64,1.80
1723199012,13536,83.3,0.302,1087.2,101.131,64,1.81
1723199013,14858,83.0,0.348,1252.8,100.015,64,1.82
1723199015,16177,83.2,0.371,1335.6,101.178,64,1.84
1723199016,17489,83.7,0.394,1418.4,102.091,64,1.85
1723199017,18821,83.3,0.441,1587.6,101.162,64,1.87
1723199019,20135,83.4,0.464,1670.4,102.122,64,1.87
1723199020,21452,83.5,0.487,1753.2,112.124,64,1.88
1723199021,22769,83.7,0.534,1922.4,100.17,64,1.89
1723199023,24083,85.4,0.557,2005.2,113.099,64,1.90
1723199024,25402,84.0,0.581,2091.6,114.056,64,1.91
1723199025,26732,83.5,0.627,2257.2,114.003,64,1.92
1723199027,28046,83.7,0.650,2340,100.155,64,1.92
1723199028,29365,84.2,0.674,2426.4,101.116,64,1.93
1723199029,30677,85.6,0.721,2595.6,102.107,64,1.94
1723199030,31993,83.9,0.744,2678.4,100.124,64,1.95
1723199032,33316,83.8,0.767,2761.2,104.186,64,1.95
1723199033,34640,83.8,0.814,2930.4,101.116,64,1.96
1723199034,35977,85.1,0.838,3016.8,107.063,64,1.99
1723199036,37286,83.6,0.861,3099.6,104.073,64,2.00
1723199037,38605,83.5,0.907,3265.2,101.178,64,2.02
1723199038,39923,83.1,0.930,3348,100.124,64,2.06
1723199040,41250,83.9,0.954,3434.4,101.116,64,2.07
1723199041,42567,85.5,1.000,3600,104.122,64,2.06
